unique_id,ds,NBEATS,NHITS,MLP,MLP1,LSTM,GRU,DilatedRNN,DilatedRNN1,TCN,TiDE,SeasonalNaive,ADE,ADE(uid),MLpol,MLpol(uid),MLewa,MLewa(uid),LossOnTrain,LossOnTrain(uid),BestOnTrain,BestOnTrain(uid),EqAverage,EqAverage(uid),Windowing,Windowing(uid),BLAST,BLAST(uid),y
ID0,1985-06-30,3.829455,3.1995387,3.9589908,3.745543,3.474556,3.2114463,4.7260914,6.274617,2.817458,3.428316,6.79,4.1528898697846595,3.621666517549095,3.752323417890979,4.074979774138184,3.51917642023325,4.121502909727978,3.68781232569731,4.046452548401276,2.817457914352417,4.726091384887695,4.028050720691681,4.003281235694885,3.617149381652359,3.6511230806552377,2.817457914352417,4.726091384887695,2.25
ID0,1985-09-30,3.5391297,3.7265337,4.4743624,4.0430794,3.1277008,3.0137265,4.4389973,4.4375343,2.8664424,3.5199385,5.02,3.9271592218553537,3.724637621450634,3.4568091126667926,3.8811507327187185,3.340169359239994,3.96972934999643,3.7088293412249698,3.8629868877471187,2.8664424419403076,4.438997268676758,3.839138090610504,3.8317224979400635,3.6161731916951743,3.6806746602851668,2.8664424419403076,4.438997268676758,1.02
ID1,1989-06-30,106.75484,106.204865,105.66347,105.65888,100.45999,104.73969,101.66313,108.59569,100.88786,102.595406,109.0,104.10654693203965,103.82919495670816,104.5138281505243,104.65928863674577,104.06374772098022,104.8590731244877,103.94085933259406,104.16015561813687,100.88786315917969,105.66346740722656,104.15369510650635,104.10315608978271,103.47558299984885,104.10953753895468,100.88786315917969,105.66346740722656,99.0
ID1,1989-09-30,106.5921,108.672676,111.72158,109.22588,101.74783,103.345184,102.120285,103.51367,101.117325,105.40527,110.0,105.91718765902871,105.45932690853435,104.1927164845954,106.48932091062251,103.96933084363502,107.65492346660422,105.80434659988892,105.22547804561336,101.11732482910156,111.7215805053711,105.92213439941406,105.11134338378906,105.38412103459993,105.15252817354636,101.11732482910156,111.7215805053711,99.0
ID10,1989-12-31,153.32343,152.29366,152.58965,152.08304,148.93427,142.02182,177.60562,194.13788,150.81735,139.28442,152.0,151.0005648019668,148.51324982244165,155.8340611002877,148.8258181002152,153.07752957180483,150.8636056310706,151.07370631883924,149.43664205187847,150.81735229492188,153.32342529296875,153.35604858398438,148.90807342529297,149.67000239124945,149.07769016242585,150.81735229492188,148.93426513671875,121.0
ID10,1990-03-31,148.16747,148.36487,153.91447,151.57283,144.3352,161.2481,178.89786,163.28499,137.6616,143.22296,132.0,146.58422197250792,147.0640691835056,152.5035323403228,143.1817513141085,151.03394996081894,139.0598074513399,145.20794929561583,145.97420731375985,137.66160583496094,148.16746520996094,148.32055473327637,146.1143341064453,149.28691146839878,146.8024449814172,137.66160583496094,144.335205078125,154.0
ID101,1995-06-30,137.67027,138.62173,136.65536,138.95844,141.10797,143.40968,146.0559,150.87085,142.035,136.6448,124.1,137.5818350424846,138.32052612357853,142.55978523365434,138.22358460450013,142.2467387538979,138.0708752666596,137.85787302868593,138.18904330599347,142.03500366210938,138.62173461914062,137.8613805770874,137.5306043624878,139.74827044739513,138.32744057387367,142.03500366210938,142.03500366210938,145.6
ID101,1995-09-30,137.58365,137.74814,143.7972,140.90993,141.13951,141.08438,142.9834,140.6655,141.74965,139.69498,126.0,138.64814020273153,138.93791619090274,140.43811627525702,138.7806682909045,140.4543900835972,138.34321470919286,138.96117604103387,139.04808745502515,141.74964904785156,137.74813842773438,138.837064743042,138.59968757629395,140.42604298665535,139.2349080675872,141.74964904785156,141.74964904785156,150.5
ID102,1986-06-30,15565.216,15605.519,15477.356,15768.295,14612.781,15239.07,16535.727,17811.764,16042.1045,15933.563,14504.0,15617.08502662266,15508.178717548886,15789.38481509251,15522.838851691891,15687.296888391616,15538.194538904932,15557.67526213237,15514.18757397238,16042.1044921875,15477.3564453125,15534.533325195312,15530.488159179688,15514.139405936508,15511.913468693905,16042.1044921875,15477.3564453125,15468.0
ID102,1986-09-30,15771.583,15856.946,16451.354,16105.29,14717.113,14790.24,16351.233,16056.322,16024.364,15882.489,15096.0,15803.733192455007,15629.804541138565,15510.254739126838,15765.611131120077,15472.764068374358,15692.922388364681,15816.494256470685,15689.041214354269,16024.3642578125,16451.353515625,15768.885375976562,15699.922485351562,15674.38185548282,15694.034183046551,16024.3642578125,16451.353515625,16516.0
ID103,1980-06-30,186.60092,186.43542,184.05284,188.99026,195.63626,176.67862,202.52496,212.92978,201.13264,192.63498,152.0,191.029995972189,191.72483752349797,191.68511835185112,181.83042546071206,190.8647122553742,184.08048982628836,188.41885127609282,193.7399150080911,201.1326446533203,186.60092163085938,187.62725448608398,195.24347686767578,189.65359511983925,192.92046110442735,201.1326446533203,186.4354248046875,181.0
ID103,1980-09-30,210.08064,220.07504,201.38348,195.09874,201.31067,213.0376,206.46432,184.27968,202.87894,197.63788,180.0,204.33125119165564,204.76441455491465,205.85944890063172,198.0821588626743,207.3722110777556,201.00794177838148,204.3285632002093,204.21908809126234,202.87893676757812,210.0806427001953,202.47887229919434,203.01383209228516,208.3671545473838,205.00105453729856,202.87893676757812,220.07504272460938,204.0
ID104,1986-06-30,481.0262,474.72845,476.33228,486.65274,506.84674,527.4006,560.13055,638.67346,525.232,469.04367,402.0,487.23772496754185,494.0238989673803,527.494888880332,548.0652812720324,522.1918707091307,532.3635272480751,486.02000824147814,493.0135249370111,525.2319946289062,481.0262145996094,486.91748809814453,493.40783309936523,498.99292121544914,493.2525226892117,525.2319946289062,476.332275390625,492.0
ID104,1986-09-30,507.11102,512.53973,514.09503,500.367,512.7915,532.36084,531.59515,516.11426,528.6955,500.6949,455.0,507.9316383096521,515.2477907701236,520.764492537787,517.5572490742811,522.0061605998723,517.4935068106367,508.78411559680524,513.6578886320876,528.6954956054688,507.11102294921875,507.8153533935547,513.5819396972656,516.5962733569178,513.6439813929264,528.6954956054688,514.0950317382812,546.0
ID105,1986-06-30,183.1566,182.6347,180.3188,184.8872,182.09912,185.05438,204.29031,226.70229,193.87625,189.35382,157.0,183.87995749400415,185.27393096618889,191.96997459676413,182.53950756087573,190.23781470099505,183.85088642316998,184.174076373588,185.09846609179144,193.87625122070312,180.3188018798828,184.09120178222656,185.17261123657227,186.37588557383887,185.08979586065587,193.87625122070312,180.3188018798828,179.0
ID105,1986-09-30,198.77975,202.94652,196.43544,190.42557,182.27179,187.52701,199.07251,194.59865,194.9993,190.99945,178.0,193.27085118782537,193.3710366356499,193.0316621371863,192.68424035163085,192.93979138847152,197.60097712583894,193.69902627553668,193.5100118093986,194.99929809570312,196.43544006347656,192.93809509277344,193.04810333251953,194.3011968492251,193.56212856026252,194.99929809570312,196.43544006347656,189.0
ID107,1986-06-30,134.02396,134.83627,132.11612,134.71873,136.89429,133.84628,142.52423,148.19757,137.33102,135.45743,116.0,132.6314038828246,132.48390694516348,137.2346697847829,133.87906258970332,136.68405117003246,133.69489463006337,133.76408437078317,133.07017732272485,137.33102416992188,133.84628295898438,133.6479148864746,132.56317138671875,135.764218816958,135.764218816958,137.33102416992188,132.11611938476562,133.0
ID107,1986-09-30,137.65639,140.49747,140.27042,136.86577,136.86685,141.6412,135.16629,132.22429,138.09212,137.14296,122.0,135.74415038432744,136.60141567842712,138.3221144465058,137.19530427562705,138.79339201194625,138.10611463322155,136.44079945448613,137.2664949814943,138.0921173095703,141.64120483398438,135.96156120300293,136.7709255218506,138.43512489319522,138.43512489319522,138.0921173095703,140.27041625976562,138.0
ID108,1987-06-30,4852.8315,4823.4844,4653.75,4707.2715,4399.151,4790.9126,4909.881,5733.4277,4857.835,4391.0444,4587.0,4679.08047761833,4681.188857369147,4898.67621297234,4977.1757624645425,4853.48923992677,4981.008486640408,4712.663171728043,4711.8310306929,4857.8349609375,4707.271484375,4684.372131347656,4699.406066894531,4702.216555796179,4687.920578938199,4857.8349609375,4707.271484375,4206.0
ID108,1987-09-30,4860.4985,5106.791,5106.534,4964.766,4597.3857,4947.997,5071.1323,4715.3096,4899.4355,4722.4233,5127.0,4891.358181074624,4895.061269276192,4884.122038212752,4943.091184358071,4898.100483421434,4965.782589438148,4924.98662545192,4931.126103135292,4899.435546875,4964.76611328125,4936.400085449219,4916.120849609375,4911.468962876261,4924.196471434657,4899.435546875,4964.76611328125,4778.0
ID109,1987-06-30,13969.877,14084.94,13673.623,13849.507,12851.635,13999.994,14278.3955,16396.578,14287.071,13421.797,13464.0,13667.884532120652,13703.648768043,14256.250572025372,14387.498855448635,14155.366152690694,14396.327442116888,13802.770116897209,13808.739918357642,14287.0712890625,13673.623046875,13753.917358398438,13802.105712890625,13806.906189914898,13769.904123290631,14287.0712890625,13673.623046875,13280.0
ID109,1987-09-30,14131.711,14739.567,14878.637,14465.146,13258.922,14139.145,14840.233,13901.402,14381.91,14001.1,14817.0,14310.61952748895,14234.12466708608,14158.98419037143,14434.188297039158,14186.823435355816,14498.284125738106,14336.34586264379,14352.797897692564,14381.91015625,14878.63671875,14381.135009765625,14337.1533203125,14301.710273453773,14271.584591797342,14381.91015625,14878.63671875,3584.0
ID110,1987-03-31,95.84243,104.18353,110.902855,108.00015,120.87735,118.20535,122.29626,124.181625,111.999695,121.42703,144.0,114.38541600447616,114.38541600447616,114.11046973804565,125.54397190820032,113.92297292687458,122.07962574178812,116.3751854671442,116.3751854671442,111.99969482421875,122.29625701904297,116.44114398956299,116.44114398956299,111.3284607281351,116.76034771639745,111.99969482421875,104.18353271484375,130.0
ID110,1987-06-30,86.9569,93.470825,109.383194,105.36184,108.63253,104.8501,109.02673,91.00554,96.72675,108.85863,104.0,101.37496376009376,101.37496376009376,98.8684411777644,108.04009319818583,99.29905766522837,107.67156646940605,103.21105688036512,103.21105688036512,96.72675323486328,109.0267333984375,102.13194561004639,102.13194561004639,100.8430098840321,100.74158658196353,96.72675323486328,93.4708251953125,104.0
ID111,1987-03-31,2972.257,2979.1804,2986.6145,3009.6162,3037.064,3053.5613,3056.9097,3264.065,3020.419,3131.673,2881.0,3007.5541964547233,3036.2124586738837,3056.4089127961533,3081.058737672835,3045.2860525797373,3073.3805324184896,3034.6712255797433,3033.516261352654,3020.4189453125,3131.673095703125,3008.1397094726562,3026.2789001464844,3028.615795850752,3028.615795850752,3020.4189453125,2972.257080078125,3365.0
ID111,1987-06-30,2960.128,3022.0232,3054.171,3013.2278,2976.9941,2928.0283,3102.997,2717.9229,3031.2578,3004.6504,2703.0,2966.70481944763,3009.938049132053,2945.099662722709,3030.6920300650713,2960.4121038954104,3016.23670671689,3023.642740498974,3017.2803830787198,3031.2578125,3004.650390625,2981.9026794433594,3014.5604248046875,3007.683988628771,3007.683988628771,3031.2578125,2960.1279296875,2990.0
ID112,1986-06-30,451.8003,453.1667,448.51837,456.87256,459.2211,458.076,480.7884,508.62256,460.71432,458.37302,410.0,458.86947073317253,449.05082980711893,465.0030456257755,465.12578857841584,462.59153174088596,461.49559856212073,453.4704699462119,451.87154697136395,460.7143249511719,460.7143249511719,452.8227729797363,449.9837226867676,458.22784817249624,458.22784817249624,460.7143249511719,448.51837158203125,468.0
ID112,1986-09-30,460.1148,462.144,475.04013,464.71512,458.7171,463.79675,453.88104,439.64243,464.0048,460.9599,424.0,455.78497581783773,456.637848015126,459.1552805251991,460.54369584557264,460.3833991095389,461.9022900564619,459.31337893272195,460.25875967732395,464.0047912597656,464.0047912597656,457.357723236084,458.5971870422363,462.90779736522086,462.90779736522086,464.0047912597656,475.0401306152344,476.0
ID113,1985-06-30,233.61218,233.07579,233.85843,234.08904,225.69266,238.0567,246.27231,267.63705,224.38446,193.21709,230.5,226.70872133184722,232.85617101084824,237.51573947080095,238.75392305656737,235.1677333818416,235.14891758520807,228.85380963671295,233.52807454964267,224.38446044921875,224.38446044921875,227.5766143798828,233.63019561767578,230.59248369756315,233.19144939824298,224.38446044921875,224.38446044921875,253.7
ID113,1985-09-30,232.8889,233.5372,243.11829,236.01997,226.22171,234.07196,243.5068,256.08163,212.09332,210.40314,200.3,225.15228449423412,231.80779853477992,233.1525305476871,236.20440611658722,230.48992459982293,232.8970800730728,229.41409456348282,232.37973683870771,212.09332275390625,212.09332275390625,225.25867080688477,232.68227005004883,229.79564921280908,231.57898950261043,212.09332275390625,212.09332275390625,262.4
ID114,1986-12-31,10497.963,10346.624,10312.283,10329.297,10215.443,10642.664,10063.349,10939.773,9981.586,9090.82,9647.0,10031.128347904232,10109.727604215748,10442.836990923148,10085.82005938519,10394.182981503282,10294.535614782557,10101.314234124955,10213.79167617806,9981.5859375,10497.962890625,10019.383544921875,10214.223754882812,10045.127887107294,10040.348803286404,9981.5859375,9090.8203125,11204.0
ID114,1987-03-31,9536.998,9448.74,10314.85,10191.669,10214.855,10463.486,10171.746,9231.161,9320.162,9570.342,8221.0,9578.23501474788,9778.35689898583,9813.064955440448,9564.664683992201,9815.290293499813,9587.872963944894,9765.333891196067,9722.939251489313,9320.162109375,9536.998046875,9599.836669921875,9728.59716796875,9681.988491750553,9567.172142625255,9320.162109375,9570.341796875,10265.0
ID115,1986-06-30,160.35802,161.35847,158.78732,161.0666,162.30544,160.37146,176.64282,191.09688,164.94296,144.60512,145.0,158.1622544274561,157.68633528258002,166.37497361748075,156.3889110046106,164.97784752024856,156.54315772868563,158.62472370922248,157.50641064675585,164.94296264648438,160.35801696777344,159.25001907348633,157.2160987854004,160.3602613127701,159.2315763750434,164.94296264648438,161.3584747314453,155.0
