unique_id,ds,TFT,NBEATS,TiDE,NLinear,KAN,MLP,DLinear,NHITS,DeepNPTS,PatchTST,SeasonalNaive,ADE,ADE(UID),MLpol,MLpol(UID),MLewa,MLewa(UID),MLprod,MLprod(UID),BOA,BOA(UID),OGD,OGD(UID),FS,FS(UID),Ridge,Ridge(UID),LossOnTrain,LossOnTrain(UID),BestOnTrain,BestOnTrain(UID),EqAverage,EqAverage(UID),Windowing,Windowing(UID),BLAST,BLAST(UID),y
H2OC (mmol/mol),2020-12-19,-0.5615508,-0.57669413,-0.46832088,-0.5643811,-0.68199086,-0.7631708,-0.4914743,-0.5815866,-0.57773554,-0.6220029,-1.101778028921377,-0.5461945435309126,-0.565897022475188,-0.5674801966903975,-0.5525099227147044,-0.5728332095650911,-0.5292005658547541,-0.571435975477756,-0.5325631116944236,-0.5747448974099265,-0.5412181031011412,-0.5633171162242567,-0.562255754092353,-0.6028468782523908,-0.5643018427053634,-0.593084045843684,-0.5674959713124508,-0.5521092142180961,-0.5640577998000709,-0.6220029,-0.5643811,-0.5475775866666668,-0.5664552066666667,-0.5673304939331456,-0.5698863636813924,-0.57773554,-0.57773554,-0.600846156209912
H2OC (mmol/mol),2020-12-20,-0.5834937,-0.6716254,-0.6826148,-0.57163477,-0.8745094,-0.7468209,-0.4892218,-0.5232589,-0.60692734,-0.6643839,-1.2188203567419724,-0.5996350603004093,-0.5723142077302452,-0.5906388383129282,-0.5603820331896057,-0.594270238550161,-0.5321369745090112,-0.5921001048923885,-0.5362296475952947,-0.5935849450574787,-0.547347959411101,-0.5753587142133174,-0.5699348097469382,-0.6044002393165361,-0.5712226702525767,-0.6171060369353916,-0.5787277486369806,-0.5909639068576089,-0.5739062322003797,-0.6643839,-0.57163477,-0.5997127183333334,-0.5731534016666667,-0.5995258475025965,-0.5905610263626606,-0.60692734,-0.60692734,-0.7152397081645446
H2OC (mmol/mol),2020-12-21,-0.60184395,-0.83833075,-0.6765604,-0.60556066,-1.008785,-0.736682,-0.5978467,-0.59951496,-0.63145906,-0.7206265,-0.6248143290004065,-0.6410407670866336,-0.6279007059327866,-0.6466904010652927,-0.625857547564264,-0.645742078548924,-0.6104014734081963,-0.6455912306505285,-0.6129972892518945,-0.6456163313328582,-0.6170895884981398,-0.6265755790436595,-0.6261712308880194,-0.6499382951281981,-0.6270182719673146,-0.6633964959143573,-0.6470996199131598,-0.6375334365765306,-0.6292366377124394,-0.7206265,-0.60556066,-0.6389828783333334,-0.6261419716666667,-0.6677454359389159,-0.6648957211190855,-0.63145906,-0.63145906,-0.4619085727678704
H2OC (mmol/mol),2020-12-22,-0.60528994,-0.88033044,-0.57093346,-0.58403486,-0.9124136,-0.669683,-0.5155465,-0.4250031,-0.61071974,-0.68612283,-0.7734014365529068,-0.5943831621959291,-0.5708565342624577,-0.60542664340442,-0.5694874284302918,-0.6038155759604698,-0.5477738450910316,-0.6019791403878918,-0.5521243499218983,-0.6011349106898181,-0.5619468750298902,-0.5809110563454924,-0.5714920465908444,-0.5861639386027506,-0.5710285798049757,-0.6231386909249084,-0.5826369204513664,-0.5953087679404485,-0.5786685738410999,-0.68612283,-0.58403486,-0.5954412216666667,-0.571119495,-0.6463940616830754,-0.6198255890016069,-0.61071974,-0.61071974,0.40363817619171927
H2OC (mmol/mol),2020-12-23,-0.60589796,-0.6362737,-0.6074044,-0.5592801,-0.68076795,-0.65177244,-0.5885732,-0.4039249,-0.5828577,-0.7651225,-0.9651623826254276,-0.6201363295577023,-0.5870320721655753,-0.6343799850983354,-0.5962031865152421,-0.6241250747168348,-0.584777366428381,-0.625033358831845,-0.5890989147653926,-0.6217079694552334,-0.5925729278171147,-0.595719935758003,-0.5881367946932295,-0.5938825817910218,-0.5871431858875414,-0.6482825371789336,-0.6128296199180163,-0.6212456769141356,-0.598232916856322,-0.7651225,-0.5592801,-0.61818931,-0.5842760600000001,-0.6248100956005427,-0.5960862577557964,-0.5828577,-0.5828577,0.5469491729805979
H2OC (mmol/mol),2020-12-24,-0.6059893,-0.38637206,-0.5898898,-0.5355534,-0.4506709,-0.5647305,-0.4923827,-0.27327222,-0.5831996,-0.7291813,-0.8538037616410201,-0.5884414030811302,-0.5366115281557718,-0.5974348597656304,-0.5403423520474628,-0.5890329667580707,-0.5168002876892772,-0.587467232007073,-0.5225084064793888,-0.5829215273822909,-0.5334435527154289,-0.555176550729198,-0.5390742582095907,-0.5343874971790196,-0.5373718033364415,-0.6158851816545163,-0.5483300668914949,-0.5870030793419228,-0.5514247648234072,-0.7291813,-0.5355534,-0.5893660166666668,-0.5365964200000002,-0.5581095433000065,-0.5138221993830789,-0.5831996,-0.5831996,-0.3059753758925692
H2OC (mmol/mol),2020-12-25,-0.60599804,-0.3300745,-0.5663743,-0.54809064,-0.63227975,-0.5103742,-0.50759387,-0.24966806,-0.58410674,-0.71230537,-0.8287461264509576,-0.5864603137038343,-0.534939142116526,-0.5975090019281786,-0.5443618045484417,-0.5877836652222046,-0.5265140546586712,-0.5863398873373147,-0.5317049998969302,-0.5811376731094248,-0.5410894182856208,-0.5552461066679906,-0.5389389971468493,-0.5230807589021725,-0.5364157831881171,-0.6086440002423807,-0.5501845770973988,-0.5871607021016026,-0.5513495525658624,-0.71230537,-0.54809064,-0.5874114933333334,-0.5346271200000001,-0.5509560935732418,-0.5036700102609153,-0.58410674,-0.58410674,-0.8310962524843113
H2OC (mmol/mol),2020-12-26,-0.605995,-0.28526214,-0.60366774,-0.5597895,-0.6707969,-0.3642184,-0.4917586,-0.36571765,-0.6593263,-0.70682263,-0.5829478453598674,-0.602330368207415,-0.5633745213656927,-0.6224876870709122,-0.5599367262868262,-0.6182713224161587,-0.5297688127121617,-0.6146274547961792,-0.5333115871284319,-0.6069060994498781,-0.546329971452224,-0.5811314631502731,-0.5658751705381384,-0.5272733107680645,-0.564325566009046,-0.6371684093432697,-0.5675038197967672,-0.5995852970357336,-0.572864856749133,-0.70682263,-0.5597895,-0.6045599616666667,-0.5649016133333334,-0.55761530295095,-0.5261616661418171,-0.6593263,-0.6593263,-1.04186053555501
H2OC (mmol/mol),2020-12-27,-0.60599035,-0.37472585,-0.565444,-0.56827784,-0.36435008,-0.28685236,-0.44268343,-0.5071893,-0.6698606,-0.6855747,-0.0562083389173386,-0.5857824969458469,-0.576555541412946,-0.6090609753537503,-0.554096262238468,-0.6116963618373181,-0.5098692432928438,-0.6072054150591326,-0.5140937365267079,-0.6010949816928671,-0.5319660826548979,-0.5856388754078805,-0.5742372803417733,-0.5265047598729446,-0.5755130849615843,-0.6416910001678713,-0.5634599977584013,-0.5842989710565404,-0.577570385369068,-0.6855747,-0.56827784,-0.5896384866666667,-0.5799293700000001,-0.5632064076736127,-0.5511504882593339,-0.6698606,-0.6698606,-1.2408741884589403
H2OC (mmol/mol),2020-12-28,-0.60598546,-0.351179,-0.5859859,-0.59264725,-0.7272529,-0.2544465,-0.34315935,-0.2448366,-0.6394156,-0.75304794,-0.2418682955522791,-0.5834059877722434,-0.5275450044495816,-0.5912415118819245,-0.5142151289292336,-0.5893701059017232,-0.4525804933636166,-0.5838874798573355,-0.46369303367646797,-0.5782764982149344,-0.4922235935713977,-0.5479456054719222,-0.5270980116164415,-0.4742121931726543,-0.5273268824816458,-0.6425204673987159,-0.5312528233408352,-0.5799842448522802,-0.5416765203193794,-0.75304794,-0.59264725,-0.5867069166666667,-0.5298487000000001,-0.5534413621608855,-0.5053914825673738,-0.6394156,-0.6394156,-0.9388752112987101
