unique_id,ds,TFT,NBEATS,TiDE,NLinear,KAN,MLP,DLinear,NHITS,DeepNPTS,PatchTST,SeasonalNaive,ADE,ADE(UID),MLpol,MLpol(UID),MLewa,MLewa(UID),MLprod,MLprod(UID),BOA,BOA(UID),OGD,OGD(UID),FS,FS(UID),Ridge,Ridge(UID),LossOnTrain,LossOnTrain(UID),BestOnTrain,BestOnTrain(UID),EqAverage,EqAverage(UID),Windowing,Windowing(UID),BLAST,BLAST(UID),y
T000000,1980-06-30,1217026.6,884301.1,847374.75,1002838.4,909692.25,919866.4,822229.1,952253.2,1143604.5,942783.56,1179180.0,967634.2418291132,901513.1295487263,908108.5117914758,919580.8288143147,895219.1677291768,902042.1712671241,907631.5919774597,916663.292956018,915080.2818503776,922540.9322735276,948664.8704861611,972706.6600226127,929134.7600000001,875465.5333333332,954140.9360605535,938965.2600078273,949559.2499973186,903051.0617250017,884301.1,822229.1,955085.7166666666,904810.4916666667,923518.6837666866,905711.9552507811,884301.1,822229.1,516501.0
T000000,1980-07-31,1222303.0,1464874.1,980539.1,1026234.0,1427376.8,1147180.4,1459640.8,1078496.8,1115422.5,1121916.5,1939450.0,1253562.8795948692,1228967.5904344383,1366911.7575308005,1351914.5508958674,1399569.8444433545,1388073.208593351,1368834.1129286792,1361193.1098132771,1350128.653711891,1334801.4288180275,1097696.6534838346,1100461.9461229327,1130290.6,1357231.7666666666,1372746.579771419,1354575.9597667817,1228623.0146010676,1213416.3873340075,1464874.1,1459640.8,1220128.3666666667,1192827.5333333332,1287543.9133780627,1300782.3641696959,1464874.1,1459640.8,1378010.0
T000000,1980-08-31,1115260.4,591343.6,649569.6,301293.53,710244.8,565518.4,272839.62,961371.94,1133809.6,1000772.4,630177.0,781783.558570879,503198.3206842837,620940.6482781979,623206.2839790852,581713.2245483543,576502.0948447799,574781.3861479023,608271.9340160247,598471.0668096957,612998.2412039562,910435.6002177605,817487.8943860757,698128.4450000002,476567.2066666666,661149.3523160764,649911.1630906172,758815.6372808588,544357.310542205,591343.6,272839.62,765551.4566666665,556989.4483333332,715374.4179424361,540512.0207374822,591343.6,272839.62,840271.0
T000000,1980-09-30,920611.1,877384.8,947395.3,821704.2,1053108.4,872782.94,997502.75,992497.5,1133144.2,1035831.06,913313.0,942884.1830394929,915498.2520107985,973041.825334637,974526.1735328175,950267.8851329213,950097.0179896934,958070.0416228848,955947.7478449718,956872.368846995,957114.633013517,988885.8612110233,973531.9708111775,953886.5666666668,915890.1633333332,959963.5286249137,943849.4410879957,941140.122965341,919467.3435815172,877384.8,997502.75,943963.3399999999,918211.2483333333,944947.7888858637,938775.1058212131,877384.8,997502.75,437741.0
T000000,1980-10-31,1040893.9,1231333.2,1032691.6,955424.4,1228674.6,1222187.0,1285996.4,1075019.6,1114985.1,1138884.5,1617990.0,1136659.7352115978,1135128.3666284776,1215738.9998375732,1201378.2945669342,1226387.6660248537,1214985.8889839267,1204733.3626945408,1197817.1510535642,1191811.5658574246,1182677.91905355,1082795.2022113942,1071078.243164735,1108813.616666667,1246505.5333333332,1197012.3263626178,1209278.3687159705,1141919.8015838035,1140305.2069684537,1231333.2,1285996.4,1138466.65,1133775.3666666667,1178039.1880387855,1178766.6489858706,1231333.2,1285996.4,556951.0
T000000,1980-11-30,1072894.4,661367.8,714538.56,600037.06,889406.75,599271.4,356860.3,833363.6,1138242.8,1000303.9,622073.0,817174.7853351394,601158.4019475366,680029.2097350132,689610.2999929145,645894.2771350665,647500.4796920181,657189.5048368494,690138.9991593189,683726.3382276882,699115.7234397677,807374.4061935426,796301.9828951315,772820.2116666667,539166.5,710306.9580127317,711010.6263874943,786494.2225430731,618038.1713549078,661367.8,356860.3,795140.4183333332,627573.12,759103.1627690624,634474.60218343,661367.8,356860.3,700000.0
T000001,1985-08-31,256.38123,254.91806,275.48038,263.35144,255.75159,280.47232,263.60782,259.218,231.62675,240.62172,152.05,264.22506842759833,258.3308675998537,256.2588443711073,250.98165713445903,256.55366021058194,252.8374334478388,256.08728125481,256.9377205726338,256.0265166768892,256.3405921261744,259.31205310869086,259.2448149601017,262.48257500000005,256.38123,255.93728994977602,253.59650646752004,263.10333087425715,257.64061425053103,254.91806,256.38123,263.7035966666666,257.89382000000006,263.7426901125003,260.7842995463056,254.91806,240.62172,260.59
T000001,1985-09-30,263.06998,258.13007,269.5114,264.04056,275.97925,270.02707,255.8432,263.07996,231.28575,237.7574,161.14,266.32520265577534,260.91398569381334,258.07668559589354,253.3129334753503,257.67514311094914,255.7552243478405,257.8126930562037,259.33776781599283,258.97292603509186,259.433275199444,262.64066819288246,262.2400910869267,263.3992733333334,263.06998,257.44278739642994,256.84807250643087,266.2718714071898,261.0258043163286,258.13007,263.06998,266.6329549999999,261.34062166666666,266.49979557643053,259.8753650251797,258.13007,237.7574,258.14
T000001,1985-10-31,269.4233,256.5451,290.5686,251.67435,243.66058,253.13708,236.38092,272.245,235.72847,234.59712,151.96,264.8048289368731,255.3863818061757,248.74880783731692,254.7099929510607,249.49072752853903,256.42176021329664,248.41779789765891,256.9822575699748,249.6652194649209,257.17304047331544,269.5898703208829,266.5846361121826,257.6471216666667,269.4233,250.65662582613282,260.21029422243663,263.76724149586346,255.2286180379595,256.5451,269.4233,264.2632766666667,254.9346966666667,264.2185596666888,261.99491506904167,256.5451,234.59712,263.29
T000001,1985-11-30,273.1583,267.60925,308.74512,251.26305,259.33746,250.60062,248.0264,266.6057,237.62096,232.03941,186.11,270.8572915678079,257.9651752936725,257.2967304361905,256.6866826676618,258.9220849131871,259.08265638697037,257.34184798878545,259.70689790130905,258.06516907660915,260.39559272463936,265.10719981798565,262.878523161624,261.4318933333334,273.1583,259.5317990038108,264.34859776194946,270.1262400296074,258.4879976131756,267.60925,273.1583,271.00940833333334,258.2251233333334,270.78129060098354,265.5287505509134,267.60925,232.03941,253.5
