unique_id,ds,TFT,NBEATS,TiDE,NLinear,KAN,MLP,DLinear,NHITS,DeepNPTS,PatchTST,SeasonalNaive,ADE,ADE(UID),MLpol,MLpol(UID),MLewa,MLewa(UID),MLprod,MLprod(UID),BOA,BOA(UID),OGD,OGD(UID),FS,FS(UID),Ridge,Ridge(UID),LossOnTrain,LossOnTrain(UID),BestOnTrain,BestOnTrain(UID),EqAverage,EqAverage(UID),Windowing,Windowing(UID),BLAST,BLAST(UID),y
T000000,1987-04-30,4.973919,4.5477037,4.433008,3.9843395,5.1013584,4.686943,4.176917,4.9694757,4.108598,4.1924486,1.14,4.719878148148387,4.586951415883456,4.820934294041444,4.80165982216035,5.0384512840366185,4.828257573633884,5.085591368977251,4.161943860394852,5.03318272009407,4.376938279180982,4.2625076516964455,4.670849838082158,4.969328303154436,4.889872282762588,4.697901441920364,4.6784650142804205,4.677402964186053,4.58246533746529,4.973919,4.973919,4.731332966666667,4.560732050000001,4.618631175035633,4.475313457494,4.973919,4.433008,5.1
T000000,1987-07-31,5.7202363,5.6897097,5.7236137,4.046113,0.7059381,5.2402973,4.4477367,4.9567285,4.109023,4.590471,1.03,4.420206093743593,5.130146922711293,1.9379073256704826,3.083656949101746,1.0079202607088051,3.014044220613896,0.7975992951245319,4.162010772475298,1.157610044203162,4.262987778534852,4.050242696326924,3.9668014946337227,4.9565833584582135,2.559386473477581,3.0114048919771528,3.6561559001087467,5.1511776340258,5.0903228474302376,5.7202363,5.7202363,4.403655483333334,5.0567283000000005,5.233899248252058,4.932368161440435,5.7202363,5.7236137,4.3
T000001,1991-04-30,168.29472,166.14517,165.72653,166.28592,159.25647,165.35266,160.85281,169.15746,159.98213,161.05081,123.0,163.3025492204894,164.56991398826707,161.13684825682157,164.86349119434504,159.82663848096217,167.2202153055652,159.42197485568903,168.84076739111276,160.0328661390249,168.09712796836817,161.61208266325843,161.91450985344107,169.1558890280733,169.1077192259212,161.65663996197281,165.52923311616962,165.04364647072617,164.95497107739817,168.29472,159.98213,164.6981016666667,165.05947,165.72157594489025,162.475856227498,168.29472,165.72653,201.0
T000001,1991-07-31,170.50917,179.34872,179.05577,168.96548,157.1802,167.33612,164.30443,169.03586,159.98755,166.12363,118.0,164.90998895050595,170.14451358582983,160.38350599199077,167.84218574586262,158.0934917459184,169.61649443621243,157.43988051623728,169.2239561732337,158.37019384921678,169.67478904027638,164.40609913288796,165.29616863242617,169.03431077604907,168.9947362335629,162.0980845854969,165.87811133233419,167.78169595908503,170.3087450649996,170.50917,159.98755,167.2329366666667,170.67678333333336,172.56832991948386,168.75149985329836,170.50917,179.05577,214.0
T000002,1989-04-30,369.65625,334.76596,301.52832,385.95087,299.88623,372.21164,334.15213,337.71164,322.76636,336.74127,289.0,333.36563398418787,344.1259600746449,322.5780950723961,365.444123219262,305.96981056940103,370.38497074013316,301.5387230428541,365.40625076200587,307.0298050853895,368.0020451815157,338.6156551785737,342.9896731281581,337.70908111488995,335.44669999999996,324.05090129539997,333.8073288872416,343.51861451798385,347.7119586520855,369.65625,369.65625,339.49968000000007,345.04893500000003,350.98951168561035,344.28442854764717,369.65625,372.21164,330.0
T000002,1989-07-31,347.8352,378.17548,309.25314,329.6387,298.29376,325.04974,379.28857,360.81647,322.8371,403.0781,214.0,332.75654612173247,346.92908250874734,308.2685607938361,342.92831802205797,301.070084616612,327.62769168782063,299.14158608602366,340.25262537839217,302.59962888556214,329.5270535768073,364.01599699698534,371.1142065353811,360.809967288483,391.183335,335.09189360032207,379.85505216574836,337.44501713817,357.95508791828826,347.8352,347.8352,338.8346250000001,359.37736500000005,336.7468964867169,341.2854202390207,347.8352,325.04974,318.0
T000003,2004-01-31,39156.7,40929.617,40466.457,33920.88,39429.36,38782.777,46655.492,41754.67,40046.15,44063.875,36602.0,40024.69574959714,40261.69809505514,38516.667141072336,40276.44349222459,39163.421764720355,39239.571154200705,39373.43891890245,38806.0227871624,39266.241073542136,38960.95213123445,43792.423107315015,44827.6926265396,41754.37747243356,39168.516833333335,41655.80704629872,43300.75758478277,39859.198796734454,41539.50348782119,39156.7,38782.777,40016.54566666667,41605.768500000006,40796.837938319026,41054.67777912227,39156.7,44063.875,41235.1
T000003,2004-04-30,43111.336,40702.152,42503.258,34419.14,39747.73,42086.83,50351.83,40803.93,42989.0,47403.53,40931.4,41424.00803206352,42818.14833820372,39350.75979709699,43229.46748468227,39568.49151432678,42468.9575757103,39722.77232110813,42096.164305149825,39739.6041040739,42247.092861387675,46691.19666224148,48125.14934549876,40804.30412099923,40604.441,43460.28395277125,46224.50843011766,41705.09360647847,44479.8722126787,43111.336,42086.83,41573.49633333334,44440.77966666667,41472.173573695116,42266.74959467954,43111.336,47403.53,46557.6
T000004,1988-01-31,797515.1,791821.7,797023.7,827942.94,796082.5,795362.4,794235.8,808206.94,790947.5,794983.56,722636.0,795347.1070099189,795347.1070099189,800925.1391299261,801183.0493390274,797684.6286675647,798140.8421755927,796446.2650839145,793613.9751742885,797419.6673506609,794322.8314289039,799096.5758761294,797090.3499515988,808203.9848914959,796484.208,797009.704188072,796522.4375554929,796825.6874056419,796825.6874056419,797515.1,808206.94,796656.0233333335,796656.0233333335,796328.8668415946,795796.7709242982,797515.1,796082.5,772214.0
T000004,1988-04-30,797687.8,829362.44,849367.5,786202.44,804203.7,784234.6,807271.5,813168.56,790967.94,814142.0,701800.0,802476.8984663095,802476.8984663095,798761.1376789937,804219.0606293496,803039.4476281989,806100.5852723675,803902.5826738296,809191.0578095558,802993.010912738,811792.8289090935,803970.2791415239,807026.0512088523,813164.7588777761,804387.4480000001,803699.0512212126,808646.4506607788,803357.6987048418,803357.6987048418,797687.8,813168.56,803270.8400000001,803270.8400000001,813488.1998942171,809468.2752289803,797687.8,804203.7,818797.0
