unique_id,ds,TFT,NBEATS,TiDE,NLinear,KAN,MLP,DLinear,NHITS,DeepNPTS,PatchTST,SeasonalNaive,ADE,ADE(UID),MLpol,MLpol(UID),MLewa,MLewa(UID),MLprod,MLprod(UID),BOA,BOA(UID),OGD,OGD(UID),FS,FS(UID),Ridge,Ridge(UID),LossOnTrain,LossOnTrain(UID),BestOnTrain,BestOnTrain(UID),EqAverage,EqAverage(UID),Windowing,Windowing(UID),BLAST,BLAST(UID),y
T000000,1994-09-30,2727.0806,2195.0981,3037.3416,3134.6738,3239.7686,2141.2354,3470.6262,2827.1475,2477.8342,2466.0652,4800.0,2553.463445159329,2650.6420012054823,2345.957869757584,2621.9203019102533,2312.6116627720075,2655.1284859890184,2341.6567906782707,2593.165833331368,2359.140887614919,2605.139231906207,2562.6080696804293,2649.2897697118174,2811.373275,2677.3540999999996,2398.374500727331,2623.758216967385,2549.812868158518,2581.3244729214143,2195.0981,2727.0806,2565.6614,2601.360733333334,2550.106795915924,2578.825344311871,2195.0981,2727.0806,1560.0
T000000,1994-10-31,2859.838,2085.9119,2537.882,2433.4966,2461.767,2031.3997,2905.23,2619.4248,2388.253,2440.2654,3000.0,2495.7447386827084,2471.6292281246233,2203.202804001188,2533.163429286453,2171.404573068714,2576.3891940267868,2171.4544046454985,2435.7629759049923,2179.923706982507,2432.019068197969,2420.841624575429,2462.697013233158,2412.618375,2622.5052666666666,2236.473294597031,2473.3693270635204,2442.642613008371,2426.43290395323,2085.9119,2859.838,2429.1203000000005,2407.7657333333336,2439.3552331841624,2422.621115560586,2085.9119,2859.838,1440.0
T000000,1994-11-30,2800.4688,2824.5173,3458.5386,2941.4749,3403.011,2307.1213,3867.56,2349.3816,2675.2368,2622.1375,3120.0,2633.6540749580813,2749.248071851249,2538.4189969998647,2677.9687292092085,2567.198944856725,2689.7204891691567,2616.114064721158,2688.7720878561,2641.731954491043,2705.4540898497044,2718.658157965331,2761.105669151854,2879.5131250000004,2608.3624,2676.3275124739284,2983.53965152178,2676.5901401013334,2691.7410113922865,2824.5173,2800.4688,2727.027516666667,2726.6228000000006,2674.281080863136,2686.4724406421865,2824.5173,2800.4688,240.0
T000000,1994-12-31,2631.761,2509.8608,2508.2417,3096.836,2804.3948,2541.0747,3685.1094,2223.0603,3218.8613,2569.669,5880.0,2509.3195101338843,2702.8203905815913,2562.6376677219996,2480.7768622942112,2574.1090234349117,2490.9217659723154,2578.1107048695258,2487.3970468413117,2580.1803951202246,2505.433234992742,2574.701029132574,2571.539528819516,2519.192875,2691.227533333333,2703.147217355693,2844.113367505358,2495.972166546814,2646.9802829942937,2509.8608,2631.761,2497.277916666667,2654.8354833333333,2492.9411811219898,2649.7635188399436,2509.8608,2631.761,1800.0
T000000,1995-01-31,2408.5752,2472.043,2414.7852,2740.461,2531.545,2068.3896,2541.899,2169.963,2360.8467,2322.2217,2640.0,2295.571947565475,2343.762149489447,2250.6255854939773,2306.800449727092,2261.0974272131075,2316.4409680106546,2276.037070465528,2325.214214252803,2286.1799041174045,2336.095175714613,2307.108740743058,2364.1414088289052,2296.1707,2313.1283,2318.0107588087562,2408.595872597738,2298.2234236922295,2323.394963402505,2472.043,2408.5752,2309.329616666667,2335.2270833333337,2297.364285757085,2321.850364869673,2472.043,2408.5752,4680.0
T000000,1995-02-28,2210.08,2401.0837,2274.465,2692.6665,2906.4211,2464.655,2889.034,2062.8254,2317.2327,2293.8167,2400.0,2267.1268615252266,2387.891578604119,2371.0581434673477,2241.7121654195803,2405.792616190743,2238.4036607394146,2421.0189092433757,2282.0282791160216,2421.705945188727,2295.3871853284813,2341.547477478742,2327.2547189508523,2427.091625,2196.7127,2430.034002544507,2490.4339274851886,2280.0781918583293,2362.879228563052,2401.0837,2210.08,2284.4876333333336,2393.716316666667,2278.9684067335374,2359.8204887935694,2401.0837,2210.08,1800.0
T000000,1995-03-31,2069.823,1839.8899,2490.786,2235.6091,2092.59,2158.8516,2286.6738,2133.2986,2142.371,2056.1023,2280.0,2090.747870499212,2090.5198884274737,2057.615416946438,2106.348774791286,2047.1645149299895,2103.6665157439797,2052.775623748769,2097.727377834749,2054.5497956370587,2105.619429918196,2086.975748858019,2137.018571364636,2218.88155,2115.1642,2051.383253102397,2047.7452026103617,2107.314625273737,2077.275534026923,1839.8899,2069.823,2124.7919,2072.804016666667,2107.323291383448,2077.8523191311124,1839.8899,2069.823,1680.0
T000000,1995-04-30,1825.2365,1357.5377,2159.1248,1892.5615,1831.2782,1764.9337,2333.8296,2019.9447,1812.4292,1836.2721,480.0,1814.4063210353572,1801.8414030062936,1697.9170490376498,1831.8408708961729,1665.9103489338402,1840.7968633198966,1669.1167918725405,1796.2840097837861,1671.2725663916976,1799.9230698477056,1798.0725846683192,1825.1450372168802,1943.82035,1885.8701333333333,1677.742937253075,1764.731089080673,1811.6404572756442,1776.5458025017365,1357.5377,1825.2365,1827.174916666667,1768.56,1813.8328743081724,1777.447389064212,1357.5377,1825.2365,3720.0
T000000,1995-05-31,1598.4033,2286.9531,2106.0586,2695.2063,2478.079,2471.639,2751.667,1967.9285,3187.002,2178.8833,5040.0,2016.7176345673356,2321.4082390661274,2413.3563573022016,1971.0988139810584,2412.31798266786,1932.8763489473572,2419.5274056929916,2093.8441134712757,2415.0213824742327,2111.9593625896555,2161.2672387413227,2114.2237859066568,2255.926275,2251.1112666666663,2511.246988803815,2251.4294059217846,2072.5418287699754,2295.921312174194,2286.9531,1598.4033,2101.6443000000004,2331.6674833333336,2079.200588690448,2310.939487515217,2286.9531,1598.4033,2160.0
T000000,1995-06-30,1706.3501,1630.2798,1261.7917,1808.5808,1742.6842,1774.3807,2182.6401,1876.3475,2165.4873,1982.8629,1920.0,1758.6541244129126,1835.3632520547328,1794.762880860657,1706.811391241471,1770.446843334199,1714.3298349096935,1753.5729809443724,1701.339632491782,1745.5775982217801,1696.9086200438765,1755.701338848181,1680.7883511581151,1663.801025,1916.0616333333332,1816.289489298345,1807.1201757731706,1718.576005879462,1817.772594827752,1630.2798,1706.3501,1705.33545,1815.9216000000001,1723.5549082733924,1823.6303348900149,1630.2798,1706.3501,480.0
T000000,1995-07-31,1983.1545,2002.0134,1248.5378,2346.8523,1349.8687,1854.1565,1771.9255,1956.391,1691.7018,2068.114,840.0,1931.6617256874745,1789.731997489861,1882.322286754671,1889.2601946023406,1878.2945053278768,1894.7728749763687,1849.7938079815551,1899.7857724707737,1839.4197108207222,1901.3607830946728,1898.2826912158835,1898.7564073992698,1602.2385,1877.0824333333333,1820.5528764611156,1926.9037906240992,1882.170731550835,1831.2517298395574,2002.0134,1983.1545,1852.0612000000003,1806.214316666667,1883.704559837423,1830.5885738376014,2002.0134,1983.1545,2040.0
T000000,1995-08-31,2146.1785,1646.368,2398.3582,2184.4382,1884.5289,1759.326,2383.243,2527.585,2440.9448,2330.532,2520.0,2125.286287068813,2116.447551826908,1943.0921044710844,2142.9747617001267,1871.241266184744,2159.5128226581915,1869.805838346057,2101.9070716631177,1876.6782115886094,2099.8309073115765,2050.1455716488003,2098.816841435274,2142.449525,2371.569433333333,1938.8875396021385,1938.9123248339708,2107.060777190828,2084.729580451006,1646.368,2146.1785,2134.724616666667,2067.4885333333336,2115.249543837001,2092.46326018551,1646.368,2146.1785,1440.0
T000001,1994-09-30,911.2628,670.6466,839.11847,1204.2434,1000.7154,696.98615,866.1494,1289.3112,789.58527,825.0168,1320.0,840.8479456534765,835.0562426085039,811.7197869692548,931.0347244506233,771.0386545033253,897.2409087824943,770.3434327070946,906.8518743612138,772.5376365544837,920.4536850973082,877.0162794379403,929.7084171591864,956.532805,1004.7678539999997,772.9036053079277,801.7474964236538,886.0735315614468,866.1834789406837,670.6466,789.58527,872.0570033333333,863.8014700000001,900.1284785256705,940.9614646827978,670.6466,789.58527,960.0
T000001,1994-10-31,911.7738,931.9861,1099.4135,1233.7861,877.0576,906.48834,1133.9426,1374.9688,770.6473,967.80475,2160.0,1017.2067510871984,971.8335676335366,978.9940805173248,939.9519541653963,946.843871716484,919.8927916377386,946.2385099857584,977.1574297198194,947.5830066449344,983.7799836032196,1041.0183738941257,991.3266240429102,1064.48206,1161.9831499999998,897.0071895526175,932.553422072983,1021.5180577703547,967.9277252628243,931.9861,770.6473,1032.0725483333335,977.2781816666668,1032.1869661126873,1014.505350974734,931.9861,770.6473,1320.0
T000001,1994-11-30,896.3693,802.2306,1217.4487,778.39465,727.47394,696.3563,1106.2092,1270.8486,790.8912,982.879,1200.0,962.2952788096146,892.4385193351228,839.2652088669483,923.4326763786805,799.9179646193662,901.3436927779121,803.8857209194055,943.3738981743028,810.3364814076169,934.3738527462837,940.640094145883,891.6057007781674,978.0318849999999,1071.1560299999996,781.6915942096687,855.1928693473427,937.2164567843927,903.7562948042541,802.2306,790.8912,977.6887500000001,906.5958333333334,949.7720212500078,912.797236297267,802.2306,790.8912,1080.0
T000001,1994-12-31,850.8092,801.61285,990.5716,732.51025,1064.7344,593.82654,1127.8193,1179.26,965.08795,1044.2758,1800.0,897.994075117956,888.0985755538791,812.6793758762095,977.293302272631,776.0883973574845,961.9526643507693,785.9602216457289,980.981292583561,794.3235795945438,971.5993916398138,879.5064054489693,913.5199992030955,957.098135,1014.8873899999998,817.4702755575975,880.4027860430579,897.6709982352548,911.0045936439935,801.61285,965.08795,910.0593316666667,905.8120566666666,910.2423711918154,912.4314419811558,801.61285,965.08795,1680.0
T000001,1995-01-31,809.0963,1100.8413,737.52014,1290.352,669.95996,1103.9519,808.42725,1029.3529,840.64087,723.6201,1320.0,926.7829682433248,953.1107203301808,1047.4487326792073,871.5121225997041,1048.300845274889,862.2229729528251,1036.1367724169618,830.5195061033234,1028.6608794760602,854.0893085685801,989.6043732297286,947.4243651962898,885.1962249999999,917.8544780000003,981.7770090187249,931.3850115771068,943.3215098533643,923.6167740121948,1100.8413,840.64087,917.3971066666667,934.583895,940.0180755215874,944.0607378209447,1100.8413,840.64087,1080.0
T000001,1995-02-28,787.1439,994.32117,404.0152,1037.5083,667.87823,1201.7633,773.307,1047.2452,812.57306,677.52264,600.0,846.2955103596177,927.8469893549253,1054.3256883387744,854.9769902367004,1054.4118932970214,846.5741634457713,1030.808199676902,814.7881385378139,1015.7479375380312,846.7369737602061,966.0957595223226,908.1044389915996,830.2254825,787.9196680000003,973.6739800254838,945.847479143223,932.0416901118012,911.8223239883582,994.32117,812.57306,852.0019016666668,920.0948783333334,929.9640625552765,915.937389726427,994.32117,812.57306,840.0
T000001,1995-03-31,810.51855,990.33984,725.55035,1082.3079,705.7814,969.36035,939.76056,1105.6003,996.89185,708.20935,1440.0,884.6643503240366,928.8652575441978,995.1808371374691,965.742163922964,977.9356061717735,942.3720522688598,966.8065885506625,853.4734600586183,961.8022442522529,880.1862966187773,958.7512419624384,978.4434113998753,876.5731,912.2856920000003,950.5965419390288,958.9276726216328,910.062656424701,930.0888100714517,990.33984,996.89185,884.9297900000001,930.1533733333334,911.5291784835842,941.0325314202196,990.33984,996.89185,840.0
T000001,1995-04-30,875.05316,803.55164,930.8502,600.0256,677.41125,478.08167,743.11847,1107.4918,999.4336,712.3087,840.0,812.8437616577298,812.3086048320023,748.9162707242933,986.1808516224913,707.3443882452442,940.3423049367493,709.4911862383206,830.8809200117469,717.695877694059,838.0112990044714,808.634647531782,846.6291647184639,798.4587300000001,818.758954,750.7998857760936,756.0939440824998,795.3994817949731,837.1197960302537,803.55164,999.4336,817.8895283333334,829.3200950000002,804.4005058971429,818.5961669849362,803.55164,999.4336,600.0
T000001,1995-05-31,912.74524,1223.3053,1080.7102,797.20233,1065.9457,994.09,1406.3679,1104.8623,1097.9669,894.92456,1440.0,1054.1327882010896,1054.2286130148977,1094.3302687436421,1045.5456358983379,1090.0998612373178,1033.4689079709026,1095.8121643607142,978.8958745281182,1098.7830265160173,997.4397275543486,1095.5743282717408,1044.4158927904546,1061.40205,1056.813458,1089.0597262164129,1095.3059625501069,1016.7775983525005,1033.2848295565225,1223.3053,1097.9669,1035.106266666667,1037.9823833333335,1015.0204973501111,981.2089299015671,1223.3053,1097.9669,1320.0
T000001,1995-06-30,894.27893,964.91724,775.9038,898.01794,1168.5364,1184.8652,1195.231,1074.8414,1022.55554,725.5978,1560.0,929.4465600698421,970.2845897423331,1082.188378698475,996.3333974951775,1082.3745530788392,983.8397948771861,1076.9186982503895,917.1932217673622,1070.091692153659,959.4864580592395,1034.215763797087,1025.113752360159,1051.0367,933.918388,1064.0828531498046,1082.1262921892176,966.3105225361951,979.9477428328439,964.91724,1022.55554,936.7340616666668,977.8426850000001,964.9741629221232,970.2783701744696,964.91724,1022.55554,1320.0
T000001,1995-07-31,865.4645,1258.1033,639.8999,761.6899,1568.4917,883.1275,1319.8596,1059.9143,894.1853,669.53705,1080.0,919.4409380521474,970.5140895134282,1043.4878481648375,921.0006182869259,1051.4146802503844,900.075828773886,1063.5270091951252,868.1310443789824,1066.7849755172087,912.5549706286147,1030.9842016470811,936.0877851139728,1037.85835,890.1801500000005,1066.7608391285305,953.5431955730169,928.6102048806458,924.0650052004223,1258.1033,894.1853,896.0077583333334,938.3886583333334,925.1240776018428,863.2219844293454,1258.1033,894.1853,2280.0
T000001,1995-08-31,844.97644,938.0394,633.2755,322.1047,1144.0325,736.92303,553.5045,970.3621,574.90393,561.0178,360.0,785.4682471415728,789.7533148360833,828.6471368431515,737.3968326476335,829.2191370548751,712.1056183479798,834.429537034314,726.8542859967843,836.3619307666795,757.3177405881971,834.9181503867101,654.0927028124119,871.1482825,608.0529200000004,813.5658761021523,655.6219481783678,801.8874901260472,755.6426966353225,938.0394,574.90393,780.7657116666668,771.0371166666667,802.0685436108135,685.7420129170873,938.0394,574.90393,1440.0
T000002,1994-09-30,6070.3955,5953.758,6531.253,6307.6523,6130.757,5459.933,7071.2676,6214.345,6744.081,6424.825,8760.0,6064.084158699083,6108.220985587159,5903.41193793905,6368.1457257825905,5848.607764993538,6451.328898089723,5870.096680511644,6312.59039680326,5890.596842755385,6252.6785107905,6038.446911959136,6407.150609309911,6084.072,6210.796,6013.672571366245,6349.15618821092,6154.635486232953,6279.132105884277,5953.758,6744.081,6109.084916666667,6189.607300000001,6151.231562982183,6355.096595190346,5953.758,6744.081,4650.0
