unique_id,ds,NBEATS,NHITS,MLP,TiDE,KAN,TFT,NLinear,DLinear,PatchTST,DeepNPTS,SeasonalNaive
T000000,1993-08-31,6869.401,6861.2246,6996.032,5498.9893,6880.408,5963.8633,6104.853,5759.616,6609.81,6472.9756,6611.115
T000000,1993-09-30,4415.2666,4291.508,4473.3047,4227.616,4574.5366,4479.546,4819.256,4695.916,4455.957,3912.349,4150.2395
T000000,1993-10-31,2840.1877,2761.1357,2941.3594,3675.4387,3056.7666,3294.2646,3332.173,3113.6782,3019.9111,3208.9556,2841.0
T000000,1993-11-30,1959.0818,1879.9885,1986.5946,2369.518,2137.0679,2439.3604,3117.6191,2528.7715,2006.1362,2542.8564,1813.44
T000000,1993-12-31,2255.8533,2270.2341,2049.6113,2572.246,2259.6245,1953.184,2312.843,2188.623,2175.2144,2542.7673,2261.08
T000000,1994-01-31,2113.0361,1924.6667,1993.2512,1712.6091,2050.464,2032.1149,1652.0098,1584.1775,1918.8784,2767.7815,1873.605
T000000,1994-02-28,1752.0461,1723.0438,1772.3384,1968.8062,2134.5762,2340.846,1577.0938,1672.4487,1803.1377,2300.1292,1772.84
T000000,1994-03-31,2266.2788,2207.7278,2134.5,2376.3354,2307.942,2225.1401,2254.874,2239.9834,2139.6,2882.091,2049.565
T000000,1994-04-30,3220.824,2904.0923,2995.4407,3152.568,3104.599,2254.192,3035.3987,2907.789,3043.0352,2940.0093,2932.265
T000000,1994-05-31,3454.5627,3383.9521,3325.236,3403.6646,3261.7158,2781.2249,3154.8381,3443.8833,3483.9146,3125.7056,3113.255
T000000,1994-06-30,3989.6545,3908.6519,3863.8005,4477.15,3713.0654,4039.4958,3775.4058,3864.7505,3956.8108,3731.9485,3461.505
T000000,1994-07-31,6507.411,6401.0522,6208.6367,5950.978,6418.3945,6039.2466,6217.11,6575.47,6483.4834,5628.1323,6265.74
T000001,1993-08-31,185292.11,183325.78,190401.17,168156.47,184753.61,183715.06,178463.33,180996.22,179671.94,173561.6,176215.2
