unique_id,ds,TFT,NBEATS,TiDE,NLinear,KAN,MLP,DLinear,NHITS,DeepNPTS,PatchTST,y
T000000,1978-11-30,1331352.4,1222839.2,1162326.4,1278100.4,1165312.6,1374656.6,1414142.9,1407904.0,1329616.5,1367470.1,950071.0
T000000,1978-12-31,1364991.0,1196878.9,1294307.5,978596.1,1181287.2,1242394.6,828940.75,1097623.4,1317110.8,1178588.0,675046.0
T000000,1979-01-31,949095.0,1360832.8,1215946.4,1117918.6,1073211.4,1469113.1,1171234.5,1290933.6,1324498.2,1109665.8,2196870.0
T000000,1979-02-28,1847182.5,1943263.8,1933186.6,1926282.2,2156675.8,2183860.5,2247610.2,2080159.5,1389253.5,2123594.5,1330660.0
T000000,1979-03-31,1597872.2,1354906.4,1450966.9,1390057.4,1434208.1,1418691.0,1200779.9,1219553.6,1357319.0,1435124.8,894202.0
T000000,1979-04-30,1066616.5,1302522.1,1173775.6,1161490.6,1362228.8,1241969.6,1007272.9,1263551.2,1308748.1,1213195.9,1972540.0
T000000,1979-05-31,1490550.5,1413177.8,1495146.9,1526248.1,1295048.8,1509059.6,1641114.8,1517495.0,1368803.4,1860273.2,1656590.0
T000000,1979-06-30,1437646.0,1525038.6,1654790.1,1584965.8,1552795.8,1831837.5,1536124.8,1575610.4,1399950.5,1733543.9,1179180.0
T000000,1979-07-31,1346429.0,1799435.0,1657156.1,1622375.5,1730321.8,1571508.2,1542573.6,1819710.0,1351750.4,1363523.9,1939450.0
T000000,1979-08-31,1569316.6,979410.0,1324837.2,1598333.0,1169660.9,1208369.0,1219106.1,1051745.5,1366999.2,1807263.6,630177.0
T000000,1979-09-30,1318800.1,1177909.5,1174971.2,838845.25,1451344.8,1314647.5,1159430.0,1312160.6,1328848.1,1090656.9,913313.0
T000000,1979-10-31,1246297.8,1235277.5,1240433.0,969472.9,1210494.4,1210426.9,749046.25,999413.4,1294004.8,1187435.8,1617990.0
T000000,1979-11-30,1345713.9,793814.94,1081130.6,1291941.8,1237759.2,990278.5,1072032.2,1242742.8,1296109.6,1494378.8,622073.0
T000000,1979-12-31,1244966.2,706141.2,1217588.5,716387.9,906740.56,827490.0,665488.5,861972.56,1287902.1,1034271.75,915206.0
T000001,1984-01-31,126.84889,128.12698,124.63811,126.51683,127.72179,135.32307,120.27719,126.325554,108.992134,121.88899,123.84
T000001,1984-02-29,125.668106,124.99606,124.32265,125.766594,120.82987,132.99011,118.17742,121.81206,111.18601,121.21342,131.1
T000001,1984-03-31,132.29352,133.69202,131.38847,131.24557,134.47717,143.06236,125.48485,131.37108,114.33642,128.39528,125.26
T000001,1984-04-30,126.831116,127.3713,129.14322,126.62919,128.56345,138.82428,120.26926,126.48366,116.23797,123.18469,121.02
T000001,1984-05-31,124.18405,121.463844,123.21602,122.19481,121.055084,129.80812,115.7201,118.21569,117.87997,119.86595,119.56
T000001,1984-06-30,124.36693,126.95033,127.02484,122.90452,122.46183,130.23895,119.66884,123.81267,120.27101,119.94718,119.31
T000001,1984-07-31,124.328926,127.70781,128.26183,123.83045,124.46202,131.4938,119.330505,122.45806,121.58773,120.3212,137.35
T000001,1984-08-31,136.40988,137.93355,136.25925,138.65561,135.17122,145.6536,132.54735,135.84355,124.082695,135.41342,152.05
T000001,1984-09-30,159.47968,152.42355,150.19931,149.9471,154.80582,164.87544,147.81525,150.47026,127.702446,149.55923,161.14
T000001,1984-10-31,168.03978,162.52956,158.47481,160.43658,165.32884,177.91306,156.24963,157.43285,131.26904,158.16982,151.96
T000001,1984-11-30,158.48193,156.20302,152.90073,155.83333,152.53893,165.64627,150.65501,151.82437,133.3679,150.01224,186.11
T000001,1984-12-31,185.6998,169.01805,169.22974,177.6186,174.24713,191.0146,173.14471,165.46172,138.226,181.56877,188.91
T000001,1985-01-31,192.72752,182.85269,183.6793,185.4059,184.47412,207.85825,177.89935,187.6767,143.89491,184.00768,256.66
T000001,1985-02-28,256.6924,235.82819,227.00003,243.62949,245.80374,276.2398,232.26193,221.93611,154.34016,247.03757,277.88
T000002,1985-06-30,833.59705,869.29834,789.3718,839.3335,839.072,872.2143,827.427,896.24915,774.99066,891.0559,918.0
T000002,1985-07-31,847.55365,866.7903,859.94275,891.51,878.54095,913.8231,813.6522,874.7674,776.4853,939.9406,915.0
T000002,1985-08-31,846.2594,906.61444,914.8389,911.11884,874.46704,929.5089,897.11676,875.0616,776.1244,907.0285,762.0
T000002,1985-09-30,816.81537,889.347,857.6386,858.93207,850.7323,875.4448,855.89166,825.31537,772.79944,793.9218,775.0
T000002,1985-10-31,809.3837,729.0151,724.6727,699.10706,762.2044,740.81494,606.35004,707.5941,751.3856,778.4072,742.0
