unique_id,ds,NBEATS,NLinear,KAN,MLP,DLinear,y
T000000,1985-07-31,2.8627834,0.1245594,2.5317905,3.2519174,3.842075,1.02
T000000,1985-10-31,1.6819177,-2.9603271,1.6739668,2.7788055,5.347298,0.72
T000000,1986-01-31,1.609854,-3.8962646,0.879504,2.2873378,6.474555,0.94
T000000,1986-04-30,1.8463789,-3.5890224,0.8392925,1.0119725,6.990443,1.14
T000000,1986-07-31,1.7467096,-3.0396163,1.0484477,1.0118601,6.366206,1.03
T000000,1986-10-31,1.4295828,-2.4132504,1.0884848,1.0188012,6.0186577,3.09
T000001,1989-07-31,101.394585,100.22933,100.06336,101.00819,95.17722,99.0
T000001,1989-10-31,100.758965,95.1613,99.02506,99.948944,102.198845,109.0
T000001,1990-01-31,111.13312,113.7338,104.422386,99.95452,106.36219,110.0
T000001,1990-04-30,112.27953,112.96814,109.54224,99.942696,108.427284,123.0
T000001,1990-07-31,126.075745,140.37233,117.0491,100.920166,111.780975,118.0
T000001,1990-10-31,121.557724,133.5243,120.6584,109.191536,106.67582,147.0
T000002,1987-07-31,254.19798,222.2954,256.03857,264.3024,282.56372,258.0
T000002,1987-10-31,263.5716,225.6383,252.96463,257.95236,275.6785,191.0
T000002,1988-01-31,214.12169,150.57504,226.62259,247.37775,292.53442,288.0
T000002,1988-04-30,305.74426,306.97247,243.59715,247.02248,247.26233,289.0
T000002,1988-07-31,299.14703,311.72186,288.54224,257.8577,300.14542,214.0
T000002,1988-10-31,217.19241,169.04083,253.87602,247.69304,246.15875,153.0
T000003,2002-04-30,48852.684,52174.25,42942.52,45640.164,35230.867,38440.7
T000003,2002-07-31,39652.64,36556.625,42281.77,45771.457,41747.848,36465.9
T000003,2002-10-31,37317.977,29111.977,37515.86,39759.996,40674.21,27207.9
T000003,2003-01-31,30673.605,14538.531,32130.195,38488.723,48425.992,36602.0
T000003,2003-04-30,39845.664,28136.734,32301.744,36591.8,43031.21,40931.4
T000003,2003-07-31,43334.61,34914.246,38949.566,36591.516,51391.004,43695.3
T000004,1986-04-30,740889.06,721120.9,676169.94,583201.8,775555.5,654071.0
T000004,1986-07-31,686593.44,660112.0,684512.4,582537.7,717152.6,691346.0
T000004,1986-10-31,714490.2,776085.6,674282.94,635122.5,657921.06,745667.0
T000004,1987-01-31,771764.8,887737.0,720800.94,654007.7,639098.3,722636.0
T000004,1987-04-30,762092.06,867110.06,734881.1,691532.9,607336.56,701800.0
T000004,1987-07-31,748740.7,865146.25,712878.06,701715.9,562565.6,741918.0
T000005,1986-07-31,682.8711,623.68353,586.36127,407.3037,781.605,564.31
T000005,1986-10-31,594.39056,568.2649,604.76556,425.472,655.58966,521.39
T000005,1987-01-31,551.51196,595.8502,544.2097,521.5569,558.06445,581.11
T000005,1987-04-30,621.93536,756.28796,553.7725,522.29645,448.60077,619.83
T000005,1987-07-31,666.60583,801.34644,602.10547,564.8764,437.2061,564.64
T000005,1987-10-31,607.8922,692.90894,593.9834,564.62445,445.5236,656.69
T000006,1980-07-31,23.57391,16.612099,25.324518,18.124422,25.83867,23.3
T000006,1980-10-31,30.293882,27.207937,20.965418,18.152578,30.095875,49.3
T000006,1981-01-31,53.305473,65.980286,37.398205,23.188934,29.401352,26.7
T000006,1981-04-30,28.289997,21.79606,38.715977,26.672161,37.03816,16.8
T000006,1981-07-31,21.206177,12.496208,22.063635,23.261835,32.060432,23.0
T000006,1981-10-31,29.40405,28.090626,20.16188,22.984167,25.367964,48.2
T000007,1989-07-31,134.16772,85.315735,138.13548,138.54248,186.95312,160.31
T000007,1989-10-31,170.15157,151.25545,144.58589,138.62914,173.30139,156.15
T000007,1990-01-31,164.18216,141.47229,158.36179,138.54034,189.95375,172.8
T000007,1990-04-30,177.07959,177.11853,165.17828,148.92348,175.09015,169.68
T000007,1990-07-31,175.17398,189.76402,171.33884,156.16972,173.3135,167.6
T000007,1990-10-31,175.0145,189.75058,168.70589,160.2891,147.5101,182.17
T000008,1986-04-30,4190.351,4363.3525,3541.6948,3205.5632,2476.9346,2715.0
T000008,1986-07-31,3173.1636,3403.231,3308.3552,3220.7637,3869.4207,3203.0
T000008,1986-10-31,3534.6177,3140.5144,2979.6125,3198.7834,2035.9205,2098.0
T000008,1987-01-31,2381.4902,1569.7863,2685.5068,3224.1904,4181.6885,1015.0
T000008,1987-04-30,1283.5994,-1141.1746,1590.8098,2728.276,2112.0012,3712.0
T000008,1987-07-31,4158.8535,4022.49,2477.4177,2726.9475,4954.9565,4139.0
T000009,1988-07-31,11288.34,13425.166,11282.625,10078.286,8934.738,12770.0
T000009,1988-10-31,13931.336,17587.709,11700.212,10452.596,8305.702,13819.0
T000009,1989-01-31,14903.143,18482.209,13338.809,12030.924,9472.709,15038.0
T000009,1989-04-30,16077.238,20272.428,14479.989,12336.476,10064.926,15518.0
T000009,1989-07-31,16816.914,21359.148,15298.274,12771.933,11131.112,12623.0
T000009,1989-10-31,13996.104,15720.596,14162.215,12765.555,9961.535,10887.0
T000010,1990-01-31,128.88408,81.95816,132.69696,133.08885,179.58981,154.0
T000010,1990-04-30,163.45389,145.30643,138.89388,133.17207,166.47469,150.0
T000010,1990-07-31,157.71594,135.90045,152.12672,133.0868,182.47081,166.0
T000010,1990-10-31,170.11127,170.15234,158.67581,143.06096,168.19824,163.0
T000010,1991-01-31,168.27803,182.29414,164.59505,150.01884,166.49146,161.0
T000010,1991-04-30,168.12273,182.27682,162.06335,153.97987,141.70316,175.0
T000011,1982-07-31,230.73389,115.306625,244.49586,210.7824,363.69702,288.0
T000011,1982-10-31,310.62177,286.33502,252.75238,210.71947,327.1155,333.0
T000011,1983-01-31,353.3029,387.5282,312.40076,218.31456,331.018,366.0
T000011,1983-04-30,384.04883,468.55936,350.8939,275.03033,277.2364,278.0
T000011,1983-07-31,303.26907,358.5893,324.78787,277.61246,260.43768,320.0
T000011,1983-10-31,358.75055,443.78424,300.77402,287.92053,216.10875,331.0
T000012,1992-07-31,430.95413,428.32147,428.53168,426.9837,427.56387,436.0
T000012,1992-10-31,437.55817,444.19324,432.33792,427.97174,434.86053,475.0
T000012,1993-01-31,481.3143,518.0077,457.1473,428.79135,433.50024,512.0
T000012,1993-04-30,526.32007,595.88464,495.06284,433.65912,439.36035,610.0
T000012,1993-07-31,639.9824,788.7192,565.1394,435.29382,446.60413,639.0
T000012,1993-10-31,681.02136,857.72736,625.7249,474.4988,448.20905,613.0
T000013,1986-04-30,28102.2,28837.248,27142.477,24351.24,27477.21,24207.0
T000013,1986-07-31,24739.957,23972.988,26041.297,24194.764,26073.814,29154.0
T000013,1986-10-31,29958.473,33788.426,26889.455,24843.053,25246.994,29058.0
T000013,1987-01-31,30045.605,33589.75,29109.041,26552.475,25105.738,28628.0
T000013,1987-04-30,29671.383,32668.424,28856.623,27664.158,24943.695,26204.0
T000013,1987-07-31,27512.924,29518.543,27492.793,27683.11,25107.438,28345.0
T000014,1986-07-31,133914.75,129555.484,124753.125,121021.29,133801.3,116357.0
T000014,1986-10-31,119473.7,104259.96,124561.36,120785.29,134995.12,131782.0
T000014,1987-01-31,134439.39,134081.97,124721.03,120661.234,132269.78,121252.0
T000014,1987-04-30,123506.734,117597.87,126850.59,121104.83,133172.34,143642.0
T000014,1987-07-31,146306.31,156809.81,133392.72,121164.87,131088.28,128780.0
T000014,1987-10-31,132521.31,140066.9,136681.83,128786.76,128646.89,136479.0
T000015,1986-07-31,40439.082,46610.363,36813.387,29334.664,31950.152,25991.0
T000015,1986-10-31,28191.566,26818.127,32121.807,29281.738,30431.426,17254.0
T000015,1987-01-31,18870.334,11927.813,21899.291,29356.041,24783.395,17976.0
T000015,1987-04-30,20823.246,11370.79,17645.496,26515.035,27149.736,25295.0
T000015,1987-07-31,28826.957,20854.568,21944.645,25582.154,29419.693,32532.0
T000015,1987-10-31,35947.992,32799.652,29219.182,25566.396,35012.19,28565.0
T000016,1986-07-31,592402.94,514507.3,517392.0,446852.88,625008.5,547908.0
T000016,1986-10-31,579657.56,529415.5,555515.3,446795.28,635359.56,548596.0
T000016,1987-01-31,573144.75,578674.25,548281.06,464852.56,548025.75,572670.0
