unique_id,ds,NBEATS,NLinear,KAN,MLP,DLinear,SeasonalNaive
T000000,1987-04-30,4.604102,5.759795,3.6428611,1.1217327,2.9783554,1.14
T000000,1987-07-31,4.711516,4.708432,3.6940136,1.0001619,1.0621611,1.03
T000001,1991-04-30,170.46191,220.34032,154.04626,118.84562,113.88696,123.0
T000001,1991-07-31,173.10977,170.2589,154.69821,117.63575,109.15822,118.0
T000002,1989-04-30,346.30228,387.88232,245.14352,245.52953,244.56769,289.0
T000002,1989-07-31,351.54016,299.77527,253.66895,230.02213,281.22443,214.0
T000003,2004-01-31,38867.727,31886.676,39666.55,36801.492,46875.152,36602.0
T000003,2004-04-30,39394.9,35318.57,39244.45,36397.016,38154.7,40931.4
T000004,1988-01-31,821778.1,932424.5,768529.6,726553.5,684462.0,722636.0
T000004,1988-04-30,830733.44,785400.5,770991.8,722737.9,759399.7,701800.0
T000005,1988-04-30,744.6801,879.1861,680.81537,586.325,540.4862,619.83
T000005,1988-07-31,756.06384,699.1214,683.0475,580.3688,656.7649,564.64
T000006,1982-04-30,46.229904,52.796883,45.52655,28.039537,41.374275,16.8
T000006,1982-07-31,48.45542,43.915283,45.246445,26.568218,24.400925,23.0
T000007,1991-04-30,189.78389,217.19772,182.19437,170.0976,144.48941,169.68
T000007,1991-07-31,192.66055,192.62819,182.18918,169.53694,168.63797,167.6
T000008,1988-01-31,3416.2124,2614.6895,3584.6108,3038.1921,4603.4307,1015.0
T000008,1988-04-30,3590.1064,3452.9736,3526.526,2951.7126,3325.301,3712.0
T000009,1990-04-30,10495.716,7684.936,10361.222,13302.44,11032.498,15518.0
T000009,1990-07-31,10617.623,8235.82,10306.134,12799.41,13088.107,12623.0
T000010,1991-10-31,182.31425,208.64893,175.02437,163.40141,138.80188,163.0
T000010,1992-01-31,185.07779,185.04724,175.01918,162.86258,162.00272,161.0
T000011,1984-04-30,346.6196,389.3079,330.53098,338.4452,243.8823,278.0
T000011,1984-07-31,356.6107,347.4846,330.48184,334.92505,319.0002,320.0
T000012,1994-04-30,729.6811,949.90265,648.2313,616.31006,458.93884,610.0
T000012,1994-07-31,739.97833,733.06665,651.4911,612.2223,442.2588,639.0
T000013,1988-01-31,30084.389,32559.848,28854.5,28909.893,27778.303,28628.0
T000013,1988-04-30,30230.79,28250.895,28901.64,28755.62,29007.688,26204.0
T000014,1988-04-30,140500.55,155185.33,135864.11,132583.45,133082.75,143642.0
T000014,1988-07-31,140994.73,130072.57,135799.69,131970.95,131500.95,128780.0
T000015,1988-04-30,40986.965,43372.547,33038.84,25729.914,38563.2,25295.0
T000015,1988-07-31,41636.65,40856.65,33452.773,25295.754,30374.951,32532.0
T000016,1988-04-30,647633.5,741753.44,615738.4,575015.4,517584.28,592558.0
T000016,1988-07-31,658411.1,604419.4,615755.5,572437.94,611459.3,561684.0
T000017,1988-04-30,147419.06,163111.36,138829.75,131638.27,131407.62,130036.0
T000017,1988-07-31,148150.42,146915.38,139413.64,131277.55,127225.04,135511.0
T000018,1988-04-30,39478.484,41381.008,34432.91,28948.121,37205.33,28459.0
T000018,1988-07-31,39902.152,40000.434,34549.758,28564.55,35182.41,31185.0
T000019,1988-04-30,744678.06,879181.9,680812.9,586323.8,540486.0,619826.0
T000019,1988-07-31,756061.8,699118.4,683045.06,580367.75,656764.5,564637.0
T000020,1981-04-30,124906.21,127696.78,123110.23,120733.34,123313.97,120615.0
T000020,1981-07-31,125261.36,126916.49,123154.664,120618.85,117962.16,122262.0
T000021,1990-04-30,153252.48,163070.1,150113.2,153595.31,132960.4,154517.0
T000021,1990-07-31,155017.94,147126.83,149909.02,152998.78,159315.08,153713.0
T000022,2005-07-31,344.8436,313.09302,335.6176,334.9087,343.54306,340.42
T000022,2005-10-31,347.27878,330.29715,335.47067,334.33054,349.89066,339.82
T000023,1990-01-31,1151.5487,1073.8745,1012.84515,1149.505,1082.0715,1276.0
T000023,1990-04-30,1159.1521,871.80286,1020.4177,1105.2057,1224.8324,871.0
T000024,1990-01-31,1363.8253,1482.6539,1338.0089,1427.5525,1229.8102,1369.0
T000024,1990-04-30,1378.9652,1227.5985,1334.0284,1403.5691,1284.862,1082.0
