unique_id,ds,NBEATS,NLinear,KAN,MLP,DLinear,y
T000000,1975-10-31,0.1326124,0.08693472,0.02436807,0.16884193,0.42941806,0.54
T000000,1976-01-31,0.70118445,1.0873762,0.5521741,0.5837964,1.0465232,0.78
T000000,1976-04-30,0.84872967,1.4910207,0.67008495,0.57781345,0.64096457,0.82
T000000,1976-07-31,0.88773507,1.6677506,0.8016808,0.84425914,0.7171703,0.46
T000000,1976-10-31,0.533593,1.1406084,0.65115047,0.55607086,0.2778623,0.52
T000000,1977-01-31,0.59770095,1.1297398,0.49252123,0.5863036,0.20407686,0.66
T000000,1977-04-30,0.7203923,1.2697675,0.59588295,0.5921585,0.30825183,0.53
T000000,1977-07-31,0.57855,0.8112547,0.59902656,0.5760388,0.25034398,0.34
T000000,1977-10-31,0.41666383,0.44310623,0.44088495,0.5810416,0.33578223,0.38
T000000,1978-01-31,0.4879289,0.3230558,0.36168084,0.5103276,0.24266487,0.46
T000000,1978-04-30,0.5451832,0.25703338,0.42336166,0.49288467,0.57286507,0.54
T000000,1978-07-31,0.602705,0.3622628,0.50336164,0.48469862,0.6853441,0.47
T000000,1978-10-31,0.53851765,0.3357677,0.5071681,0.46719086,0.7284138,0.6
T000000,1979-01-31,0.6584338,0.7029724,0.54046273,0.46533716,0.544172,2.83
T000000,1979-04-30,3.1401048,4.897113,1.8087062,0.56836563,1.2062794,6.15
T000000,1979-07-31,6.9301972,11.273726,4.629509,0.7594559,1.9206575,5.83
T000000,1979-10-31,6.912186,11.3936,5.9999113,0.70229965,0.94386196,6.92
T000000,1980-01-31,8.356356,14.338003,6.4208026,2.9891942,0.27197063,8.31
T000000,1980-04-30,9.997672,16.930988,7.673409,6.0332527,-0.33011723,7.56
T000000,1980-07-31,9.138236,14.755143,7.9582305,6.218786,1.610944,4.74
T000000,1980-10-31,6.0961723,9.248709,6.237345,6.6739926,2.2245543,3.67
T000000,1981-01-31,4.94175,5.6203046,4.2381415,6.560241,1.8388999,3.35
T000000,1981-04-30,4.4663177,3.0327797,3.5199115,5.344437,2.486095,2.94
T000000,1981-07-31,3.940444,-0.037311554,3.157699,4.2909946,3.5487504,1.75
T000000,1981-10-31,3.0643725,-3.2115617,2.3818586,3.9208937,6.040022,1.53
T000000,1982-01-31,3.149836,-3.6029186,1.6468141,3.246214,5.4016523,1.61
T000000,1982-04-30,3.1624033,-3.371708,1.5733616,1.9779499,5.7156105,1.78
T000000,1982-07-31,3.009995,-2.7570093,1.7021434,1.9917662,6.010251,1.48
T000000,1982-10-31,2.442281,-1.8938594,1.639292,1.8046547,4.8587446,1.29
T000000,1983-01-31,1.946356,-0.9242885,1.3908849,1.5962589,3.27973,2.58
T000000,1983-04-30,3.0220592,2.1982968,1.9892067,1.6089548,3.1954515,4.03
T000000,1983-07-31,4.34772,5.2607684,3.36593,1.7165636,3.157619,4.57
T000000,1983-10-31,5.007571,7.047351,4.3226914,1.8273231,3.0342596,5.07
T000000,1984-01-31,5.806239,8.908847,4.8410106,2.662504,1.9787686,5.86
T000000,1984-04-30,6.773613,10.539909,5.4981966,4.138989,1.581587,6.79
T000000,1984-07-31,7.7917643,12.133436,6.364079,4.6283383,2.4295175,5.02
T000000,1984-10-31,5.9216356,8.628562,5.959823,5.098972,2.8678856,3.24
T000000,1985-01-31,4.0824566,4.8985515,4.185133,5.642591,2.1021974,2.78
T000000,1985-04-30,3.5577216,2.9762392,3.024248,5.543335,2.063195,2.25
T000000,1985-07-31,2.957076,0.12254429,2.531416,3.7050872,2.9363022,1.02
T000000,1985-10-31,1.9900067,-2.9636998,1.6730976,3.3235145,4.1978054,0.72
T000000,1986-01-31,2.0487232,-3.8998952,0.8792921,2.6779964,4.453549,0.94
T000000,1986-04-30,2.3764095,-3.5923061,0.8392446,1.2916204,4.924448,1.14
T000000,1986-07-31,2.405427,-3.042383,1.0484041,1.2940367,4.5771856,1.03
T000000,1986-10-31,2.052209,-2.4154825,1.088407,1.2007141,4.07674,3.09
T000001,1974-10-31,0.1326124,0.08693472,0.02436807,0.16884193,0.42941806,97.0
T000001,1975-01-31,103.18863,179.79587,97.02093,104.72161,111.279785,95.0
T000001,1975-04-30,100.96147,182.46854,96.06195,101.56523,94.092865,95.0
T000001,1975-07-31,100.718346,197.87454,95.02437,103.88394,79.19123,94.0
T000001,1975-10-31,99.50415,212.98657,94.530975,98.770706,60.764942,93.0
T000001,1976-01-31,98.03571,184.34067,93.530975,98.14304,44.15967,90.0
T000001,1976-04-30,94.058784,178.02757,91.59292,94.49053,54.74398,90.0
T000001,1976-07-31,93.25899,149.12,90.02437,93.72731,41.10474,90.0
T000001,1976-10-31,93.03225,136.79147,90.02437,90.7751,66.17368,80.0
T000001,1977-01-31,84.40804,94.867226,85.30974,91.25765,36.09579,80.0
T000001,1977-04-30,83.595474,66.088165,80.02437,92.60504,94.015366,84.0
T000001,1977-07-31,87.36056,72.9537,82.16808,85.61815,95.120705,84.0
T000001,1977-10-31,86.870316,72.67073,84.02437,85.42706,96.89097,87.0
T000001,1978-01-31,89.74912,82.4819,85.62606,84.33444,94.87706,89.0
T000001,1978-04-30,91.41657,88.20822,88.08404,84.18238,93.31381,88.0
T000001,1978-07-31,89.81821,89.68746,88.530975,84.17079,91.23287,88.0
T000001,1978-10-31,89.24343,91.70794,88.02437,87.12698,88.47004,81.0
T000001,1979-01-31,82.53307,79.38062,84.71681,88.70437,85.80017,81.0
T000001,1979-04-30,82.57625,80.700005,81.02437,88.78694,81.72616,76.0
T000001,1979-07-31,78.09694,68.76753,78.65487,82.72217,80.17264,79.0
T000001,1979-10-31,81.43626,70.56811,77.62606,82.28952,85.86515,78.0
T000001,1980-01-31,81.05312,69.34984,78.530975,80.32163,84.373924,78.0
T000001,1980-04-30,80.97346,67.698296,78.02437,78.4796,85.120865,80.0
T000001,1980-07-31,82.87603,74.79974,79.08404,78.20429,87.39182,80.0
T000001,1980-10-31,81.78848,75.149,80.02437,78.11227,83.3737,86.0
T000001,1981-01-31,87.32378,89.96048,83.25212,79.11656,88.10629,86.0
T000001,1981-04-30,87.301704,92.60778,86.02437,80.11952,80.85588,86.0
T000001,1981-07-31,87.769615,94.18262,86.02437,80.18278,82.32173,86.0
T000001,1981-10-31,88.15066,96.19011,86.02437,86.21813,77.3542,90.0
T000001,1982-01-31,92.07632,100.72813,88.16808,86.13983,79.260544,90.0
T000001,1982-04-30,92.19027,100.992744,90.02437,86.12954,85.2174,90.0
T000001,1982-07-31,92.11781,99.37465,90.02437,86.11539,83.14219,90.0
T000001,1982-10-31,92.114746,98.6491,90.02437,90.145424,85.06975,83.0
T000001,1983-01-31,84.453026,83.094315,86.71681,92.17687,80.15112,83.0
T000001,1983-04-30,84.22311,80.69562,83.02437,92.17777,85.2469,83.0
T000001,1983-07-31,84.51717,78.42386,83.02437,84.253006,85.75738,83.0
T000001,1983-10-31,84.780174,76.67801,83.02437,84.17092,88.09577,81.0
T000001,1984-01-31,83.39034,73.938736,82.06195,84.13319,84.617905,81.0
T000001,1984-04-30,83.53154,72.686005,81.02437,83.62222,86.447014,81.0
T000001,1984-07-31,83.26789,74.40503,81.02437,81.358,87.78512,81.0
T000001,1984-10-31,82.53474,74.92131,81.02437,81.33455,86.40851,80.0
T000001,1985-01-31,81.3669,75.26069,80.530975,81.33529,86.33629,80.0
T000001,1985-04-30,80.7991,77.24025,80.02437,81.31111,82.106834,80.0
T000001,1985-07-31,80.732544,77.6649,80.02437,80.179,82.55626,80.0
T000001,1985-10-31,80.52674,77.73734,80.02437,80.167274,82.24461,83.0
T000001,1986-01-31,83.46351,84.05395,81.62606,80.165215,83.88075,83.0
T000001,1986-04-30,83.511826,84.87767,83.02437,80.09715,82.12078,87.0
T000001,1986-07-31,87.96071,93.14999,85.16808,80.18082,82.98543,86.0
T000001,1986-10-31,87.30305,92.25513,86.530975,83.13852,81.25689,92.0
T000001,1987-01-31,93.90523,103.49052,89.25212,83.24223,82.325485,93.0
T000001,1987-04-30,95.524155,106.639885,92.54202,86.166336,83.42324,98.0
