unique_id,ds,NBEATS,NLinear,KAN,MLP,DLinear,y
T000000,1979-01-31,-0.04721321,0.0770289,-0.0017624069,-0.057004366,0.23492263,1149.87
T000000,1979-02-28,1318.0713,925.22375,1149.8707,1085.729,-6010.179,1053.8002
T000000,1979-03-31,1210.194,861.6639,1100.9381,996.6757,-5430.7656,1388.8798
T000000,1979-04-30,1538.6191,1219.256,1191.9856,1084.6837,-5877.1787,1783.3702
T000000,1979-05-31,1925.1372,1463.0885,1327.9725,1082.4475,-5705.0195,1921.0251
T000000,1979-06-30,2068.7185,1510.1945,1442.7822,1307.456,-6818.9414,2704.9448
T000000,1979-07-31,2819.754,2068.7476,1633.1985,1304.2998,-6585.146,4184.4136
T000000,1979-08-31,4247.737,3326.067,1929.4965,1668.5762,-8107.621,4148.354
T000000,1979-09-30,4201.3545,3431.7483,2152.3545,1666.5763,-7708.242,2620.725
T000000,1979-10-31,2750.2424,2189.2056,2171.0576,1798.7341,-8112.5996,1650.3
T000000,1979-11-30,1839.2283,1258.455,2090.5505,1667.9583,-7161.26,1115.92
T000000,1979-12-31,1380.8525,494.9497,1952.551,1663.9592,-6692.715,1370.6251
T000000,1980-01-31,1707.2526,667.9319,1750.3953,1527.393,-5659.4746,1096.315
T000000,1980-02-29,1459.5001,858.6304,1841.3025,1518.4431,-4959.371,978.46
T000000,1980-03-31,1314.3528,1173.3953,2149.5098,1261.0905,-3352.0527,1294.685
T000000,1980-04-30,1651.3937,1401.1094,2254.2407,1268.569,-2975.4062,1480.4651
T000000,1980-05-31,1813.0605,1294.5325,2152.245,1281.925,-3142.6768,1748.8652
T000000,1980-06-30,2000.4857,1456.7378,2232.418,1375.1895,-3777.6658,2216.9202
T000000,1980-07-31,2297.1968,2023.6201,2362.095,1376.4507,-3618.7004,4690.5186
T000000,1980-08-31,4516.829,4256.5205,2230.49,1535.1897,-4340.46,4682.8643
T000000,1980-09-30,4441.876,4439.372,1967.2338,1530.7229,-4612.9424,2459.5798
T000000,1980-10-31,2435.7961,2577.8328,1852.1593,1639.6289,-5393.1797,1484.4901
T000000,1980-11-30,1643.2416,1664.6581,1838.8491,1537.8376,-4642.007,1028.9851
T000000,1980-12-31,1336.4775,1073.2845,1819.155,1535.7006,-4554.9854,1109.3649
T000000,1981-01-31,1549.952,1308.1628,1616.4238,1359.3949,-3157.066,960.8751
T000000,1981-02-28,1437.2638,1635.6963,1680.2163,1356.0719,-2758.812,896.3501
T000000,1981-03-31,1291.0043,2083.6646,2113.4692,1348.3125,-2455.667,1118.6552
T000000,1981-04-30,1561.4843,1904.6814,2211.8489,1357.1145,-2076.8455,1619.995
T000000,1981-05-31,2069.6284,2062.611,2081.202,1371.6223,-1700.0012,1847.9949
T000000,1981-06-30,2190.0474,1742.6704,2195.223,1387.0984,-870.95276,2367.045
T000000,1981-07-31,2533.3062,2007.655,2464.2734,1379.7867,-577.01355,4991.16
T000000,1981-08-31,4655.241,4601.3394,2307.814,1509.5935,-1381.7733,4772.9443
T000000,1981-09-30,4241.5117,4409.713,1908.7863,1499.6343,-1726.016,2894.6785
T000000,1981-10-31,2697.4724,2827.5103,1841.9686,1547.1095,-2132.158,1860.4801
T000000,1981-11-30,1871.803,1433.6055,1874.8923,1558.8169,-1767.3528,1185.1501
T000000,1981-12-31,1566.7334,696.32666,1860.2614,1561.4012,-1622.8955,1313.6599
T000000,1982-01-31,1863.9276,1110.0426,1730.1743,1512.6111,-856.9144,1160.915
T000000,1982-02-28,1710.1912,1387.9908,1806.1863,1492.8428,-671.72473,1061.5049
T000000,1982-03-31,1549.2283,1705.7599,2275.856,1486.435,-344.08887,1301.77
T000000,1982-04-30,1906.5667,1791.1497,2388.028,1499.4927,-11.917114,1794.3798
T000000,1982-05-31,2353.5823,1777.8219,2309.8704,1512.1481,885.6809,2106.455
T000000,1982-06-30,2498.07,1483.8867,2417.2095,1517.6823,1678.5787,2789.035
T000000,1982-07-31,2956.8584,1901.9926,2712.5488,1494.9113,2042.4341,4917.8467
T000000,1982-08-31,4467.335,4262.4907,2517.4233,1483.2126,1754.7095,4994.4834
T000000,1982-09-30,4320.743,4638.8955,2163.7322,1480.5232,577.3291,3016.7542
T000000,1982-10-31,2661.2847,2406.6929,2054.6038,1506.96,26.340454,1941.5051
T000000,1982-11-30,1921.7496,921.29663,2042.0126,1522.4126,99.016235,1234.135
T000000,1982-12-31,1632.5295,333.59387,2042.8198,1531.1902,623.0674,1378.7202
T000000,1983-01-31,1985.7213,860.76,1890.8798,1502.9497,2018.9995,1182.975
T000000,1983-02-28,1850.5287,1419.8488,1970.0051,1480.9995,1685.3734,1081.66
T000000,1983-03-31,1756.9863,2036.2158,2378.6409,1478.2673,1687.3688,1424.1101
T000000,1983-04-30,2229.2766,2297.6167,2539.449,1494.4672,2077.7883,1774.535
T000000,1983-05-31,2427.6807,2112.785,2430.8506,1633.3661,3560.5906,2115.4202
T000000,1983-06-30,2575.5884,1790.9156,2531.856,1664.577,5347.492,2804.84
T000000,1983-07-31,3025.8496,2324.9426,2749.7007,1640.2146,6486.37,4849.498
T000000,1983-08-31,4332.907,4644.994,2607.18,1632.2546,5278.576,4937.475
T000000,1983-09-30,4119.9863,4537.0244,2211.122,1635.7174,3443.4272,3074.2236
T000000,1983-10-31,2606.7627,2123.7268,2089.2808,1664.4524,2496.8574,2063.4253
T000000,1983-11-30,1926.7714,1110.7648,2077.1348,1699.0927,1977.8185,1297.3552
T000000,1983-12-31,1676.2561,475.19556,2075.5469,1703.8989,2189.9106,1350.7102
T000000,1984-01-31,1966.8915,1158.9781,1925.5225,1679.672,3212.6592,1224.3601
T000000,1984-02-29,1877.2393,1724.8428,2001.4178,1660.68,2578.8557,1165.8152
T000000,1984-03-31,1878.6428,2178.5925,2396.8896,1656.8875,2308.356,1409.33
T000000,1984-04-30,2205.2898,2806.9636,2543.194,1669.1814,2528.4504,2116.5498
T000000,1984-05-31,2835.5156,2939.3188,2472.0464,1733.3451,4140.5586,2357.135
T000000,1984-06-30,2838.1465,2631.7927,2582.984,1750.3417,7135.5444,2995.0703
T000000,1984-07-31,3233.861,3004.5408,2795.9927,1728.5999,9767.071,5295.212
T000000,1984-08-31,4779.5244,5202.361,2679.7607,1715.6205,8783.517,4957.905
T000000,1984-09-30,4094.8645,4652.206,2318.7695,1719.729,5777.197,3321.9592
T000000,1984-10-31,2792.81,2431.369,2217.4863,1749.3907,4352.1997,2221.1802
T000000,1984-11-30,2068.1753,1041.3643,2214.6733,1844.0013,3362.6152,1345.9
T000000,1984-12-31,1744.7789,539.0355,2191.3047,1849.9214,3587.2324,1514.0151
T000000,1985-01-31,2154.7026,1257.264,2079.873,1826.0166,3508.9988,1239.5502
T000000,1985-02-28,1935.4802,1662.9688,2151.0261,1802.916,3040.6616,1172.1599
T000000,1985-03-31,1919.113,2113.455,2586.8845,1799.2621,2695.0132,1518.9752
T000000,1985-04-30,2361.262,2738.078,2692.6086,1811.4801,2835.9292,1996.8751
T000000,1985-05-31,2742.8362,2976.8057,2633.1924,1878.2444,4275.14,2248.685
T000000,1985-06-30,2739.116,2663.2231,2705.0215,1882.8503,7017.0127,3053.4402
T000000,1985-07-31,3287.5112,3063.251,2948.6238,1861.8262,10314.049,5019.4536
T000000,1985-08-31,4541.5527,4928.5566,2726.024,1851.0603,9396.461,5466.7803
T000000,1985-09-30,4576.453,5064.786,2408.0237,1853.2241,5932.624,3235.1677
T000000,1985-10-31,2698.3853,2365.6792,2269.6943,1883.1675,4417.703,2157.98
T000000,1985-11-30,2001.0627,1055.4438,2224.4778,1962.5175,3453.6028,1379.7252
T000000,1985-12-31,1752.0482,596.3013,2248.6143,1970.3909,3375.8618,1728.04
T000000,1986-01-31,2362.8694,1429.415,2076.075,1946.1581,3457.7734,1350.1099
T000000,1986-02-28,2037.716,1814.2972,2180.7275,1926.5536,2907.934,1216.0149
T000000,1986-03-31,1973.9441,2292.178,2568.363,1922.1969,2666.559,1751.3252
T000000,1986-04-30,2582.8,2986.1865,2799.6204,1932.7927,3050.336,1805.3201
T000000,1986-05-31,2551.372,2901.5903,2631.4258,1942.434,4564.335,2570.025
T000000,1986-06-30,3084.9111,2928.7656,2773.2354,1948.6251,7056.1553,3204.2402
T000000,1986-07-31,3422.201,3165.3662,2968.6628,1928.6395,10615.174,5395.72
T000000,1986-08-31,4887.787,5359.5815,2905.7622,1912.2891,9453.84,6078.8286
T000000,1986-09-30,5167.2925,5575.4995,2511.3845,1917.8695,6580.0615,3587.0984
T000000,1986-10-31,3014.646,2677.1086,2412.838,1948.801,4707.3545,2285.195
T000000,1986-11-30,2131.2139,1234.6104,2395.521,2011.8508,3409.6714,1582.19
T000000,1986-12-31,1989.0511,552.8607,2433.59,2015.8262,3427.6719,1787.4298
T000000,1987-01-31,2445.0425,1477.6643,2246.7908,1993.297,3385.7754,1554.8701
T000000,1987-02-28,2262.4001,1961.4282,2333.6458,1969.643,2908.7869,1409.8649
T000000,1987-03-31,2191.4807,2388.033,2776.888,1967.1376,2800.6191,1612.125
T000000,1987-04-30,2455.8298,3072.2188,3016.9604,1976.7623,3048.7117,2286.24
T000000,1987-05-31,3074.667,3191.274,2884.818,2029.8499,4367.709,2913.7551
T000000,1987-06-30,3432.7488,3295.0747,3019.4475,2037.782,7508.4253,3645.9084
T000000,1987-07-31,3869.4766,3551.545,3250.6423,2014.1241,10537.828,5956.7085
T000000,1987-08-31,5425.383,5810.1157,3229.7556,1993.7042,9733.41,6326.975
T000000,1987-09-30,5334.4766,5822.3633,2760.4426,1997.7266,6690.9795,3914.6602
T000000,1987-10-31,3288.8315,2980.5237,2638.2207,2028.348,4792.6064,2617.675
T000000,1987-11-30,2423.894,1322.5162,2638.4607,2040.9166,3562.4253,1675.165
T000000,1987-12-31,2092.3538,692.0648,2662.1873,2050.3738,3680.0786,2139.22
T000000,1988-01-31,2836.033,1850.1477,2508.084,2020.9838,3597.8188,1715.4899
T000000,1988-02-29,2481.2034,2190.2734,2607.006,1999.6375,3253.3218,1663.58
T000000,1988-03-31,2498.0522,2803.7734,3080.7153,1996.4696,3087.5537,2053.7
T000000,1988-04-30,2954.6565,3465.9243,3346.4824,2015.1091,3348.499,2354.93
T000000,1988-05-31,3199.02,3342.4258,3207.4326,2116.9458,5033.6133,3038.5918
T000000,1988-06-30,3570.824,3402.007,3332.0554,2161.003,8181.2437,3470.6094
T000000,1988-07-31,3742.4492,3460.525,3554.542,2132.3801,11111.211,6606.1836
T000000,1988-08-31,6053.1284,6250.5986,3457.5176,2112.2375,10446.852,6587.6367
T000000,1988-09-30,5529.7095,6210.595,3004.1133,2118.0552,7259.5854,4133.7827
T000000,1988-10-31,3512.467,3298.924,2871.774,2147.0327,5276.1836,2960.0244
T000000,1988-11-30,2774.706,1665.0499,2888.3708,2159.3586,4341.4956,1762.585
T000000,1988-12-31,2213.7007,879.1389,2874.2053,2171.858,3904.4268,2125.6401
T000000,1989-01-31,2866.9236,1714.2434,2691.9722,2143.401,4101.9565,1815.915
T000000,1989-02-28,2634.4185,2361.0793,2759.3076,2115.1409,3489.1826,1632.315
T000000,1989-03-31,2483.3372,2926.1125,3301.9792,2114.4517,3316.4824,2210.395
T000000,1989-04-30,3165.5627,3625.313,3477.2715,2130.9763,3837.9673,2210.215
T000000,1989-05-31,3124.2422,3385.5396,3353.293,2146.5017,5596.6113,3099.2693
T000000,1989-06-30,3684.5361,3459.9556,3467.1865,2153.0605,8987.754,3468.7778
T000000,1989-07-31,3771.1436,3415.464,3783.0742,2118.8586,12055.061,6482.9253
T000000,1989-08-31,5946.6187,6468.0684,3578.8218,2108.191,11235.646,6665.485
T000000,1989-09-30,5581.8477,6308.1167,3094.1562,2110.2065,7808.362,4006.3618
T000000,1989-10-31,3363.1816,3214.1165,2927.162,2145.8284,6040.724,2882.335
T000000,1989-11-30,2697.656,1556.705,2892.195,2229.2122,4960.257,1775.2499
T000000,1989-12-31,2260.9905,698.3667,2875.4475,2240.092,4775.8076,2171.65
T000000,1990-01-31,2916.1882,1848.4559,2694.649,2208.414,4792.034,1796.475
T000000,1990-02-28,2626.8838,2307.1785,2754.3704,2182.3047,4245.565,1692.3499
T000000,1990-03-31,2568.6665,2987.087,3291.6458,2177.3647,3809.9668,1949.7852
T000000,1990-04-30,2960.3477,3476.419,3456.2659,2194.7563,4202.7725,2680.6301
T000000,1990-05-31,3646.4219,3809.7166,3343.5493,2470.3145,6015.2793,2645.95
T000000,1990-06-30,3263.9902,3130.286,3435.4226,2482.1956,9486.592,3414.743
T000000,1990-07-31,3755.4304,3437.29,3740.3838,2455.0842,12686.713,5772.877
T000000,1990-08-31,5262.785,5768.4062,3565.6501,2443.6238,12178.492,6053.704
T000000,1990-09-30,5020.897,5825.13,2973.851,2445.8145,8161.215,3878.1284
T000000,1990-10-31,3259.4634,2812.2002,2829.8965,2484.6665,6321.1123,2806.515
T000000,1990-11-30,2616.2083,1508.0991,2780.024,2532.8062,5027.629,1735.5382
T000000,1990-12-31,2196.8438,698.96387,2797.7651,2539.939,4941.49,2128.92
T000000,1991-01-31,2841.333,1909.6958,2585.2341,2511.0327,5029.1436,1608.0142
T000000,1991-02-28,2415.202,2150.4678,2650.888,2486.9866,3876.8547,1441.3301
T000000,1991-03-31,2305.416,2607.1394,3057.1152,2480.4185,3848.5415,2068.235
T000000,1991-04-30,3070.7053,3571.834,3272.2014,2488.3342,3557.9792,2207.61
T000000,1991-05-31,3108.26,3446.0244,3094.4683,2506.2307,6223.917,2918.41
T000000,1991-06-30,3537.5332,3435.5376,3232.2732,2508.4731,9464.738,3400.8179
T000000,1991-07-31,3714.8838,3466.6511,3461.6936,2491.1628,13226.164,6048.742
T000000,1991-08-31,5551.408,5936.0684,3351.83,2473.4514,12573.287,6483.14
T000000,1991-09-30,5438.0527,6170.9707,2934.591,2480.6348,8392.631,4063.5027
T000000,1991-10-31,3476.0479,3051.8772,2809.7827,2515.6055,6436.0425,2900.23
T000000,1991-11-30,2699.427,1535.9053,2780.45,2533.1924,3979.7231,1907.095
T000000,1991-12-31,2335.477,817.6533,2798.2974,2542.4358,3994.265,2338.51
T000000,1992-01-31,3011.002,1679.658,2627.6099,2522.343,4086.3003,1787.165
T000000,1992-02-29,2596.248,2291.9507,2698.0547,2488.6187,3125.241,1699.6451
T000000,1992-03-31,2564.823,2746.6873,3189.5142,2490.7283,2779.4358,1979.1052
T000000,1992-04-30,2928.9592,3611.8726,3404.9207,2491.276,3152.0967,2824.26
T000000,1992-05-31,3710.5156,3906.913,3296.1948,2540.9534,4994.99,3076.505
T000000,1992-06-30,3685.078,3623.072,3422.8564,2547.336,8771.019,3402.585
T000000,1992-07-31,3719.2646,3505.0972,3689.7341,2525.6018,12250.431,5985.83
T000000,1992-08-31,5515.0425,6050.1113,3596.675,2513.878,11651.332,6611.115
T000001,1979-01-31,-0.04721321,0.0770289,-0.0017624069,-0.057004366,0.23492263,65072.37
T000001,1979-02-28,74597.875,52355.117,65072.37,61444.324,-340135.53,48612.2
