unique_id,ds,NBEATS,NLinear,KAN,MLP,DLinear,SeasonalNaive
T000000,1993-12-31,14144.424,14349.074,10070.007,3645.276,12423.035,6915.52
T000000,1994-03-31,13606.832,23239.867,9591.418,3327.769,9627.725,5696.01
T000000,1994-06-30,14776.174,13084.0205,9950.272,3841.1282,831.1094,9507.025
T000000,1994-09-30,17814.227,12949.408,10010.691,4139.746,3155.4585,17469.63
T000001,1993-12-31,479696.94,487039.2,390350.28,259257.56,411620.75,348666.69
T000001,1994-03-31,461912.38,656170.9,379320.16,253002.5,352095.44,289378.83
T000001,1994-06-30,485285.5,454314.0,386652.84,263328.03,220953.08,361884.6
T000001,1994-09-30,550834.06,460324.97,387768.25,268566.44,281727.94,540909.5
T000002,2006-03-31,308860.47,313518.94,285597.5,195949.6,202238.44,260754.0
T000002,2006-06-30,310655.28,345356.94,286429.5,190288.3,250631.48,293599.0
T000002,2006-09-30,315764.6,279452.44,285515.28,202574.56,303926.62,274916.0
T000002,2006-12-31,342985.3,287696.78,285426.1,205811.34,216688.9,313820.0
T000003,2006-03-31,91881.14,90680.99,77983.68,52268.375,61103.055,74078.0
T000003,2006-06-30,88105.35,110916.1,76688.62,51393.008,61094.793,70931.0
T000003,2006-09-30,89949.87,80566.66,77393.55,53449.656,66797.08,68004.0
T000003,2006-12-31,102288.66,86222.336,77522.9,54107.066,58740.832,95829.0
T000004,2006-03-31,144919.4,130842.42,130915.15,70792.266,96317.125,114837.0
T000004,2006-06-30,143228.38,167444.25,131148.06,68270.484,91281.32,131353.0
T000004,2006-09-30,147654.55,115363.98,131313.58,73640.266,85682.47,136027.0
T000004,2006-12-31,161362.6,118815.8,131235.05,74991.5,64884.727,143360.0
T000005,2006-03-31,132820.72,133113.34,117503.98,78721.22,87173.234,120415.0
T000005,2006-06-30,125401.11,158424.28,115592.08,77019.984,93554.04,104971.0
T000005,2006-09-30,128275.47,118422.336,116417.234,80862.125,114353.25,103051.0
T000005,2006-12-31,147064.19,126709.88,116486.38,82044.58,95683.234,136164.0
T000006,2006-03-31,58785.426,59335.71,51310.656,30904.99,35916.793,44596.0
T000006,2006-06-30,57614.0,70336.11,51069.242,30179.219,40415.344,51049.0
T000006,2006-09-30,58637.42,54556.316,51168.645,31857.82,48558.664,47459.0
T000006,2006-12-31,66023.01,55952.086,51192.49,32331.969,37709.76,61521.0
T000007,2006-03-31,319402.5,358984.5,304815.22,205314.14,237308.97,316826.0
T000007,2006-06-30,316696.56,331108.38,301925.94,199686.6,267263.2,264510.0
T000007,2006-09-30,333859.78,329649.44,302871.4,211819.84,458813.56,303540.0
T000007,2006-12-31,355020.2,322859.3,303069.9,213960.3,383288.1,325972.0
T000008,2006-03-31,168925.94,156471.42,159624.62,91726.125,124830.734,142300.0
T000008,2006-06-30,166646.27,197251.94,160111.14,88573.54,117810.01,159844.0
T000008,2006-09-30,176061.89,138390.78,160636.53,95008.33,126632.95,171954.0
T000008,2006-12-31,188508.36,136722.42,160346.56,96360.09,98052.71,168382.0
T000009,2006-03-31,113260.08,108033.7,97647.52,63045.46,58564.43,86979.0
T000009,2006-06-30,115968.42,125731.51,98449.58,61262.17,74605.83,104594.0
T000009,2006-09-30,116044.266,94597.2,97563.09,65101.832,97822.0,83742.0
T000009,2006-12-31,126001.56,107114.36,97498.43,65981.14,75386.65,115734.0
T000010,2006-03-31,168189.45,165468.84,143601.53,74677.35,85829.11,122959.0
T000010,2006-06-30,169104.03,207353.6,143690.39,71599.055,97766.24,148731.0
T000010,2006-09-30,170794.83,140383.95,143233.92,78584.016,143151.78,124408.0
T000010,2006-12-31,193192.12,153395.22,143185.73,79742.984,101018.7,177232.0
T000011,2006-03-31,109703.445,102550.69,95459.36,55281.574,63021.688,84415.0
T000011,2006-06-30,108985.984,131643.47,94755.734,53349.1,72325.41,92747.0
T000011,2006-09-30,111521.91,86771.53,95183.03,57594.156,78862.21,90354.0
T000011,2006-12-31,124999.28,95346.79,95248.67,58556.53,55436.21,112896.0
T000012,2006-03-31,531585.2,590801.1,529865.44,420225.3,443621.72,502032.0
T000012,2006-06-30,539475.56,539459.2,530022.6,409099.5,544945.7,513773.0
T000012,2006-09-30,567292.5,595512.2,533141.9,430205.75,744403.44,573492.0
T000012,2006-12-31,586558.0,561955.75,532081.5,436521.94,613274.9,541268.0
T000013,2006-03-31,3430623.5,2758827.2,3129256.0,2288049.8,2635273.0,3038791.0
T000013,2006-06-30,3427827.5,4118237.0,3119977.8,2234345.5,2800071.5,2845000.0
T000013,2006-09-30,3647785.0,2153263.2,3134755.8,2344851.2,2230082.8,3293652.0
T000013,2006-12-31,3955939.0,2477777.5,3135358.5,2365697.2,1586861.2,3363957.0
T000014,2006-03-31,26834.707,26845.307,25276.941,19177.186,20364.002,24836.45
T000014,2006-06-30,26211.873,29260.457,25159.785,18740.336,24329.182,24737.5
T000014,2006-09-30,27029.66,24865.734,25220.02,19633.941,25266.668,24136.38
