unique_id,ds,NBEATS,NLinear,KAN,MLP,DLinear,y
T000000,1979-03-31,0.038712684,-0.17414862,0.0058320947,-0.5402367,0.31776425,3592.55
T000000,1979-06-30,4039.2156,1933.175,3592.555,-1438.3098,-4069.8499,6409.3403
T000000,1979-09-30,6972.6387,2987.8455,5048.1763,-745.5603,-3211.013,10953.493
T000000,1979-12-31,11530.952,5150.799,7076.603,-1501.3843,-4557.8833,4136.845
T000000,1980-03-31,5454.7617,1951.272,5908.7974,-1009.1201,-472.63965,3369.46
T000000,1980-06-30,5065.487,3079.7166,5949.1377,-295.63623,-62.879883,5446.2505
T000000,1980-09-30,6549.8003,4592.304,6628.6235,1271.1633,-1108.0151,11832.963
T000000,1980-12-31,11597.627,7273.3564,6350.5234,2022.2471,-1128.648,3622.84
T000000,1981-03-31,4759.358,1563.2197,5677.9595,365.93823,1584.3691,2975.8804
T000000,1981-06-30,5014.9385,3779.1074,5593.2793,235.54956,2531.4473,5835.0347
T000000,1981-09-30,7047.733,5527.995,6825.2637,1267.2744,1020.6653,12658.783
T000000,1981-12-31,11521.521,6781.8345,6420.535,2431.6365,2881.1797,4359.29
T000000,1982-03-31,4974.083,-251.59717,6018.769,522.5564,6766.129,3524.19
T000000,1982-06-30,5653.756,2768.902,6192.9985,-339.6245,8473.197,6689.87
T000000,1982-09-30,7955.9844,6843.062,7577.038,863.18823,5801.5713,12929.085
T000000,1982-12-31,10918.744,8783.885,7004.459,1561.416,4922.3574,4554.3604
T000000,1983-03-31,4915.4336,744.0752,6480.1714,497.69556,5527.626,3688.745
T000000,1983-06-30,6023.6396,2388.647,6595.0566,-403.2964,7304.5586,6694.7954
T000000,1983-09-30,8010.321,6699.9766,7749.544,891.0969,6919.2734,12861.196
T000000,1983-12-31,10216.939,10327.131,7080.6753,1657.3945,6124.1904,4711.4907
T000000,1984-03-31,4812.082,3711.2507,6558.6895,571.0864,7334.6875,3799.5054
T000000,1984-06-30,6240.585,3663.089,6650.157,-410.9453,8180.79,7468.7554
T000000,1984-09-30,8993.392,7206.166,7954.0684,1022.82446,11675.46,13575.076
T000000,1984-12-31,10747.598,10706.603,7504.602,1755.0161,9538.475,5081.095
T000000,1985-03-31,5218.283,4110.543,7013.548,809.06885,8050.047,3930.6853
T000000,1985-06-30,6500.0996,3703.1953,7150.0444,-113.22119,7659.127,7299.0005
T000000,1985-09-30,8832.84,7244.9053,8271.407,1386.8779,12468.364,13721.401
T000000,1985-12-31,10844.567,10930.578,7645.235,2102.3591,9404.521,5265.745
T000000,1986-03-31,5351.654,4427.985,7096.037,1008.3003,7886.26,4317.45
T000000,1986-06-30,6883.1147,4110.5176,7269.1294,-21.480957,7741.9097,7579.585
T000000,1986-09-30,9112.957,7578.89,8508.952,1479.06,12858.16,15061.646
T000000,1986-12-31,12089.016,11860.881,8220.728,2079.5515,9918.265,5654.815
T000000,1987-03-31,5753.784,4529.573,7660.051,1162.5444,8434.74,4576.86
T000000,1987-06-30,7267.5454,4337.598,7774.857,180.4956,8774.543,8845.903
T000000,1987-09-30,10421.151,8576.117,9393.799,1601.3604,13182.467,16198.344
T000000,1987-12-31,13091.752,12746.453,8961.418,2297.7686,10380.59,6432.06
T000000,1988-03-31,6563.6426,4954.201,8468.283,1723.5669,8313.734,5432.7695
T000000,1988-06-30,8248.344,5063.1055,8790.908,886.1084,8710.651,8864.131
T000000,1988-09-30,10594.591,8877.518,10146.34,2278.8828,13303.807,17327.604
T000000,1988-12-31,14095.273,13574.442,9704.102,2878.7083,10698.929,6848.2495
T000000,1989-03-31,6972.295,5396.4688,9075.538,1829.3447,9042.179,5658.625
T000000,1989-06-30,8643.441,5362.044,9174.1455,840.44385,9731.87,8778.262
T000000,1989-09-30,10739.795,9055.155,10658.556,2296.5073,14261.986,17154.771
T000000,1989-12-31,13818.897,13803.18,9808.654,3255.1265,11583.603,6829.2344
T000000,1990-03-31,6887.491,5211.6025,9081.938,1654.44,9803.923,5438.61
T000000,1990-06-30,8454.997,5141.7236,9052.604,565.42725,10676.732,8741.323
T000000,1990-09-30,10706.93,9010.12,10536.711,2161.692,15150.385,15704.71
T000000,1990-12-31,12383.767,13230.145,9338.449,3467.1882,12436.817,6670.973
T000000,1991-03-31,6643.7744,5561.8857,8661.139,1966.3198,10167.179,5117.579
T000000,1991-06-30,8027.3857,4752.5635,8640.202,518.02734,10466.711,8526.838
T000000,1991-09-30,10429.853,8704.138,9879.183,2175.3623,15985.074,16595.385
T000000,1991-12-31,13195.045,13817.798,9420.954,3385.4934,12424.455,7145.835
T000000,1992-03-31,7089.791,6228.532,8834.369,2424.4023,9782.67,5465.9155
T000000,1992-06-30,8361.763,5051.368,8952.183,1045.5347,10322.289,9303.35
T000000,1992-09-30,11327.642,9293.294,10537.115,2570.4785,16017.288,16747.184
T000000,1992-12-31,13404.551,14126.152,9834.75,3848.4604,12370.127,6915.52
T000001,1979-03-31,0.038712684,-0.17414862,0.0058320947,-0.5402367,0.31776425,172137.16
T000001,1979-06-30,193539.27,92636.336,172137.16,-68907.16,-195021.84,207720.03
T000001,1979-09-30,231626.77,98332.6,190566.28,-48978.58,-154907.69,312830.06
T000001,1979-12-31,336979.7,153589.1,234241.8,-43463.97,-149440.84,195209.27
T000001,1980-03-31,231884.86,114741.84,215784.19,-27295.656,-93731.64,153662.0
T000001,1980-06-30,199978.44,131379.94,210834.03,-1725.7344,-53450.86,203812.95
T000001,1980-09-30,239183.92,155501.45,228645.97,55229.39,-83927.14,327819.47
T000001,1980-12-31,336317.25,224854.78,223704.56,91526.64,-49917.28,201774.55
T000001,1981-03-31,230900.55,131807.16,214310.45,82740.93,-25902.64,164833.8
T000001,1981-06-30,214334.62,155263.31,217048.95,85684.75,24478.64,210252.73
T000001,1981-09-30,247849.23,186741.97,239199.98,118734.68,9417.1875,365329.9
T000001,1981-12-31,354246.75,209715.66,239903.81,134938.6,83379.68,231132.62
T000001,1982-03-31,245501.53,89715.94,234574.23,135050.6,184766.16,183341.27
T000001,1982-06-30,229857.8,129991.87,238103.6,112460.445,233918.64,245359.4
T000001,1982-09-30,282282.5,227893.81,270176.62,129914.16,176749.86,395632.5
T000001,1982-12-31,362723.12,287974.16,268086.53,148447.92,162985.89,239873.2
T000001,1983-03-31,243009.12,114966.38,256920.52,130111.74,171512.31,207111.38
T000001,1983-06-30,257857.61,137240.66,263084.03,109717.11,219868.7,273082.3
T000001,1983-09-30,310610.75,254575.47,294112.8,155300.25,230576.08,440175.2
T000001,1983-12-31,387521.2,353907.34,294183.62,169253.53,201562.1,275192.03
T000001,1984-03-31,269607.62,224532.14,288975.94,151234.08,288853.1,218010.95
T000001,1984-06-30,270584.7,202409.9,291363.88,128468.56,288051.78,317881.66
T000001,1984-09-30,362677.5,292520.94,329169.06,162854.19,346551.8,491747.8
T000001,1984-12-31,432493.88,392221.53,329933.47,176297.06,334992.88,324293.12
T000001,1985-03-31,317150.16,253024.03,326541.75,171823.16,302911.16,240547.06
T000001,1985-06-30,302160.6,223162.53,332510.03,145909.52,315258.0,316376.3
T000001,1985-09-30,367104.8,311018.9,361575.3,181629.4,394161.7,503022.1
T000001,1985-12-31,441293.56,409738.25,352160.22,202109.17,362789.56,312877.9
T000001,1986-03-31,304926.84,256980.81,331961.97,217587.06,329256.53,261187.6
T000001,1986-06-30,323744.34,237418.94,337125.75,183115.22,320133.56,364241.9
T000001,1986-09-30,413340.56,344570.25,378845.0,217346.33,418170.56,550268.5
T000001,1986-12-31,480894.56,448233.1,376474.8,237012.69,396405.53,356835.62
T000001,1987-03-31,347389.4,281500.5,370737.1,208678.31,340788.1,285757.56
T000001,1987-06-30,352788.34,255892.3,377751.53,178818.73,352199.56,387975.5
T000001,1987-09-30,439067.9,366564.28,414975.84,220512.69,453686.94,578709.3
T000001,1987-12-31,506777.4,482269.28,407416.53,246302.19,409892.3,335318.28
T000001,1988-03-31,329000.12,298584.72,383422.47,219394.06,376377.06,309795.8
T000001,1988-06-30,381383.97,288766.25,391655.25,195016.7,360394.0,387748.7
T000001,1988-09-30,439782.9,376110.12,425951.34,253775.98,481893.44,576033.7
T000001,1988-12-31,500571.22,484656.94,406494.78,276679.5,456652.88,344159.66
